Speaker_ID,Speaker,ID,path_length,mean_k,clust_coef_global,Language,data_type
Kazuko_85,Kazuko,85,0.3046057844659808,7.7,0.6119631901840491,Japanese,iter
Kazuko_86,Kazuko,86,0.3484706803600602,3.4,0.4888888888888889,Japanese,iter
Kazuko_87,Kazuko,87,0.2621109821826626,5.5,0.434010152284264,Japanese,iter
Kazuko_88,Kazuko,88,0.4437173749110317,4.7,0.5573122529644269,Japanese,iter
Kazuko_89,Kazuko,89,0.30754872315675713,5,0.40625,Japanese,iter
Kazuko_9,Kazuko,9,0.31356629470304204,4.4,0.5285714285714286,Japanese,iter
Kazuko_90,Kazuko,90,0.224857654498356,4.8,0.46153846153846156,Japanese,iter
Kazuko_91,Kazuko,91,0.3207290321629637,5.9,0.5179372197309418,Japanese,iter
Kazuko_92,Kazuko,92,0.3045098112646693,6.3,0.45436893203883494,Japanese,iter
Kazuko_93,Kazuko,93,0.23095159089807354,6.6,0.44021739130434784,Japanese,iter
Kazuko_94,Kazuko,94,0.2964314870095553,5.8,0.6407766990291263,Japanese,iter
Kazuko_95,Kazuko,95,0.1592214258571014,4.2,0.3984375,Japanese,iter
Kazuko_96,Kazuko,96,0.3234003859915745,3.7,0.3202247191011236,Japanese,iter
Kazuko_97,Kazuko,97,0.2481967679259174,7.7,0.476123595505618,Japanese,iter
Kazuko_98,Kazuko,98,0.33884681876833933,3.8,0.5209580838323353,Japanese,iter
Kazuko_99,Kazuko,99,0.2987057750343584,3.8,0.2749003984063745,Japanese,iter
Lewis_1,Lewis,1,0.05524694366423667,2.6,0.2459016393442623,UK,iter
Lewis_10,Lewis,10,0.04609173585702031,2.1,0.3181818181818182,UK,iter
Lewis_100,Lewis,100,0.2078291418360767,3.3,0.43636363636363634,UK,iter
Lewis_11,Lewis,11,0.053182772142715745,2.2,0.2926829268292683,UK,iter
Lewis_12,Lewis,12,0.17691490874349694,3,0.45,UK,iter
Lewis_13,Lewis,13,0.1499958974361649,3.4,0.42391304347826086,UK,iter
Lewis_14,Lewis,14,0.1093208830487654,3.6,0.3875,UK,iter
Lewis_15,Lewis,15,0.2732033145018052,3.3,0.39204545454545453,UK,iter
Lewis_16,Lewis,16,0.0562779603528555,2.4,0.36486486486486486,UK,iter
Lewis_17,Lewis,17,0.06369803281539275,2.7,0.3055555555555556,UK,iter
Lewis_18,Lewis,18,0.246004997289743,3.5,0.390625,UK,iter
Lewis_19,Lewis,19,0.23690487236028293,4.1,0.3322475570032573,UK,iter
Lewis_2,Lewis,2,0.24881717903909975,3.6,0.3684210526315789,UK,iter
Lewis_20,Lewis,20,0.21925814904814597,4,0.34494773519163763,UK,iter
Lewis_21,Lewis,21,0.11756197197123151,3.9,0.36428571428571427,UK,iter
Lewis_22,Lewis,22,0.3356692459110846,3.9,0.4383561643835616,UK,iter
Lewis_23,Lewis,23,0.2379973466232766,3.9,0.3522727272727273,UK,iter
Lewis_24,Lewis,24,0.16938180943908399,4,0.36298932384341637,UK,iter
Lewis_25,Lewis,25,0.05761466982127535,2.5,0.23076923076923078,UK,iter
Lewis_26,Lewis,26,0.15792007145316764,3.5,0.4009216589861751,UK,iter
Lewis_27,Lewis,27,0.05516298174377422,2.7,0.21301775147928995,UK,iter
Lewis_28,Lewis,28,0.3425693902584774,4.4,0.4316546762589928,UK,iter
Lewis_29,Lewis,29,0.02003988515522622,2.2,0.3181818181818182,UK,iter
Lewis_3,Lewis,3,0.04722513919776671,2.3,0.26666666666666666,UK,iter
Lewis_30,Lewis,30,0.24787770205812062,3.4,0.3865979381443299,UK,iter
Lewis_31,Lewis,31,0.19147133580471806,4.1,0.33762057877813506,UK,iter
Lewis_32,Lewis,32,0.22713521918869367,3.5,0.3875598086124402,UK,iter
Lewis_33,Lewis,33,0.25351273899645754,3.4,0.38860103626943004,UK,iter
Lewis_34,Lewis,34,0.18599428177611757,3.3,0.43636363636363634,UK,iter
Lewis_35,Lewis,35,0.06049540331233909,2.5,0.23076923076923078,UK,iter
Lewis_36,Lewis,36,0.06011965546567855,2.6,0.21428571428571427,UK,iter
Lewis_37,Lewis,37,0.04903376155002161,2.2,0.31343283582089554,UK,iter
Lewis_38,Lewis,38,0.07638346161169941,3.5,0.40789473684210525,UK,iter
Lewis_39,Lewis,39,0.06086939336281826,2.4,0.24793388429752067,UK,iter
Lewis_4,Lewis,4,0.21227574178511696,3.4,0.4044943820224719,UK,iter
Lewis_40,Lewis,40,0.06071223271489222,2.7,0.21428571428571427,UK,iter
Lewis_41,Lewis,41,0.06322096032824338,2.6,0.2682926829268293,UK,iter
Lewis_42,Lewis,42,0.033608557395743976,2.1,0.30434782608695654,UK,iter
Lewis_43,Lewis,43,0.05121303984113368,2.2,0.2857142857142857,UK,iter
Lewis_44,Lewis,44,0.053182772142715745,2.2,0.2926829268292683,UK,iter
Lewis_45,Lewis,45,0.2407448769825905,3.9,0.34962406015037595,UK,iter
Lewis_46,Lewis,46,0.28939094621715944,5,0.39893617021276595,UK,iter
Lewis_47,Lewis,47,0.18912793977504516,3.2,0.43352601156069365,UK,iter
Lewis_48,Lewis,48,0.14793049433321412,3.8,0.3764705882352941,UK,iter
Lewis_49,Lewis,49,0.18247705734296607,3.3,0.43636363636363634,UK,iter
Lewis_5,Lewis,5,0.2432751562879295,3.8,0.4043478260869565,UK,iter
Lewis_50,Lewis,50,0.25558011000964675,2.8,0.4485981308411215,UK,iter
Lewis_51,Lewis,51,0.11892561039140974,3.4,0.4117647058823529,UK,iter
Lewis_52,Lewis,52,0.15988704167222714,4,0.3547297297297297,UK,iter
Lewis_53,Lewis,53,0.22649465784424702,3.8,0.3643724696356275,UK,iter
Lewis_54,Lewis,54,0.05761466982127539,2.3,0.27,UK,iter
Lewis_55,Lewis,55,0.294733205385349,4.7,0.4161849710982659,UK,iter
Lewis_56,Lewis,56,0.14656076753383251,3.8,0.375,UK,iter
Lewis_57,Lewis,57,0.04880301443684504,2.7,0.22602739726027396,UK,iter
Lewis_58,Lewis,58,0.06136804676345709,2.4,0.29411764705882354,UK,iter
Lewis_59,Lewis,59,0.04178212208015029,2.2,0.3620689655172414,UK,iter
Lewis_6,Lewis,6,0.2630182993891059,3.4,0.3898305084745763,UK,iter
Lewis_60,Lewis,60,0.12326651990282092,3.5,0.4097560975609756,UK,iter
Lewis_61,Lewis,61,0.28072017745358163,4.8,0.4495114006514658,UK,iter
