Language,Subject,Age,Gloss,IPAtarget,IPAactual1,IPAactual2,IPAactual3,IPAactual4,IPAactual5,IPAactual6,IPAactual7,IPAactual8
NA,Linda,17,ahv,ɑhv,ɑhv,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,ai,ɑiːː,ɑiːːʲ,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,aknast,akknastt,ak:a,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,auto,autto,ɑt:ɑ,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,Eddy,etʲi,t:ʲi,etʲi,etʲsʲi,NA,NA,NA,NA,NA
NA,NA,NA,emme,emme,em:æ,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,hallo,hɑllo,ɑiljo,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,hästi,hæsːtʲi,æsːtʲi,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,haugub,hɑukup,ɑuk:u (2),auk:,ɑuk:u (2),NA,NA,NA,NA,NA
NA,NA,NA,issi,issʲi,is:ʲi,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,käed,kæet,kæːː,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,kaisa,kɑisɑ,kɑsːs  ɑ,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,karu,kɑru,kɑlʲu (2),tavu,kɑlʲu (2),NA,NA,NA,NA,NA
NA,NA,NA,käru,kæru,kɑlʲu,kæːlʲu,NA,NA,NA,NA,NA,NA
NA,NA,NA,keel,keːːl,ke̝eːː,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,kinni,kinːnʲi,kinːnʲi (2),kinːnʲi (2),NA,NA,NA,NA,NA,NA
NA,NA,NA,kleeps,kleːːpps,kip:s,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,kokku,kokːku,kok:u,kuk:u,kuk:ku,NA,NA,NA,NA,NA
NA,NA,NA,koll,kolːl,koe̝lːl,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,kombain,kompaiːn,pɑiʲ (10),pɑiʲ (10),pɑiʲ (10),pɑiʲ (10),pɑiʲ (10),NA,NA,NA
NA,NA,NA,NA,NA,pɑiʲ (10),pɑiʲ (10),pɑiʲ (10),pɑiʲ (10),pɑiʲ (10),NA,NA,NA
NA,NA,NA,konn,konːn,konːn,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,kukk,kukːk,kukːk,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,kukkus,kukkus,ku-k:u,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,kuu,kuːː,kuːː (2),kuːː (2),NA,NA,NA,NA,NA,NA
NA,NA,NA,lahti,lahːːtti [Q3],kahːht:i [Q3],NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,mähku,mæhkku,mæhk:u (2),mæhk:u (2),NA,NA,NA,NA,NA,NA
NA,NA,NA,meie,meie,meie [Q2],NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,mürame,myrɑme,mylːʲɑ [Q2],NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,muu,muːː,muːː,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,oma,oma,oma,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,õuna,ɤuna,ounɑ,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,päike,pæikke,pɑːk:e,pæːk:e,NA,NA,NA,NA,NA,NA
NA,NA,NA,pall,pɑlːʲ,pɑlːʲ,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,pallid,pɑllit,pɑl:i,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,panda,pɑntɑ,pɑt:ɑ (2),pa:t:a (2),pa:ta,pɑt:ɑ (2),pa:t:a (2),NA,NA,NA
NA,NA,NA,pissu,pissu,pis:ʲu,is:ʲu,NA,NA,NA,NA,NA,NA
NA,NA,NA,pluus,pluːus,puːu,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,porgandit,porkɑnʲtitt,pok:ɑ (im+spont) (2),puk:a,pup:a,pok:ɑ (im+spont) (2),NA,NA,NA,NA
NA,NA,NA,prõnn,pprɤnːʲ,ɤnːʲ,NA,NA,NA,NA,NA,NA,NA
