"what's that3101" "woof woof2673" "baby2119" "toot toot2645" "honk honk2817" "eeyore3098" "what's that3102" "quack quack2128" "eeyore2121" "honk honk2672" "what's that2822" "baby2118" "what's that2821" "quack quack2642" "monkey3157" "quack quack1804" "woof woof2824" "quack quack2124" "eeyore2813" "hippo2641"
"what's that2822" 7.15164552582131 8.27752819336023 11.9609109550573 14.602083513697 8.44662813524032 8.44662813524032 8.88497147690359 8.44662813524032 10.9423867870807 11.3432455908977 0 12.5342660539763 3.26955654485436 11.2750552599865 13.9845704365898 16.7628095675988 9.8365832623101 8.44662813524032 8.17833179486363 15.9838622797715
"baby2118" 15.5710582599161 8.34943665305963 2 11.8455648486502 9.52100952831344 13.4317714671278 18.382465972357 11.7749172176354 9.76220757020336 10.3494366530596 12.5342660539763 0 12.9988275737804 14.6033443423816 9.4974507910918 15.1778637778058 8.30260556055697 11.7749172176354 9.55089786423542 12.7140582904866
"what's that2821" 3.88208898096695 8.74208971316431 12.4254724748614 15.0666450335011 8.91118965504441 8.91118965504441 9.69102376003411 8.91118965504441 11.4069483068848 11.8078071107018 3.26955654485436 12.9988275737804 0 11.7396167797906 14.4491319563939 17.2273710874029 10.3011447821142 8.91118965504441 8.64289331466771 16.4484237995756
"quack quack2642" 13.6407734987848 11.3137084989848 14.0299892434626 11.9814095698291 8.48528137423857 2.82842712474619 14.7766486966017 2.82842712474619 13.7641128351207 12.0599784869252 11.2750552599865 14.6033443423816 11.7396167797906 0 16.602265963379 8.48528137423857 12.8727635679346 2.82842712474619 11.9838525111458 14.1296969770346
"monkey3157" 17.1829806427696 8.05555761434623 8.99150262212918 12.6951895890677 9.99238199823748 14.6654415794878 19.9943883552105 13.7738388386328 8.32986533691725 11.6840850256964 13.9845704365898 9.4974507910918 14.4491319563939 16.602265963379 0 15.6492362477299 8.85380524824056 13.7738388386328 8.82155072512804 12.7714858503775
"quack quack1804" 19.2976277482772 8.48528137423857 15.1778637778058 9.15298244508295 11.3137084989848 11.3137084989848 20.4335029460941 11.3137084989848 12.8423614435586 11.5509987717761 16.7628095675988 15.1778637778058 17.2273710874029 8.48528137423857 15.6492362477299 0 11.3575626975076 11.3137084989848 11.0621011195836 12.2850645205305
"woof woof2824" 13.3551961112306 2.87228132326901 8.97347903984778 9.19683664360577 5.7007084480152 10.0443364431884 16.1666038236715 10.0443364431884 8.21315606083109 6.00920719392265 9.8365832623101 8.30260556055697 10.3011447821142 12.8727635679346 8.85380524824056 11.3575626975076 0 10.0443364431884 5.44910106861404 11.6663255589487
"quack quack2124" 11.7961410422807 8.48528137423857 11.2015621187164 11.9814095698291 5.65685424949238 5.65685424949238 14.6075487547216 0 10.9356857103745 11.5509987717761 8.44662813524032 11.7749172176354 8.91118965504441 2.82842712474619 13.7738388386328 11.3137084989848 10.0443364431884 0 9.15542538639956 12.9581241017808
"eeyore2813" 11.8338633821123 2.57681974534503 9.55089786423542 8.90137506568178 3.49857113690718 9.15542538639956 14.6452710945532 9.15542538639956 2.76405499221705 7.96198455247953 8.17833179486363 9.55089786423542 8.64289331466771 11.9838525111458 8.82155072512804 11.0621011195836 5.44910106861404 9.15542538639956 0 9.34661403381801
"hippo2641" 16.9318956566034 8.79404423567967 12.7140582904866 9.83145749033876 10.6386766921838 14.6386766921838 19.9494421735279 12.9581241017808 10.6936780813193 11.8597616332172 15.9838622797715 12.7140582904866 16.4484237995756 14.1296969770346 12.7714858503775 12.2850645205305 11.6663255589487 12.9581241017808 9.34661403381801 0
