"Beba2109" "Beba2110" "Daisy1800" "Mummy2116" "Mummy3095" "Mummy3569" "all gone2105" "apple2636" "away1799" "baby2106" "baby2107" "baby2108" "beep beep2637" "biscuits2111" "biscuits3579" "doggy2112" "doggy2113" "doggy2114" "doggy2638" "doggy2639" "flowers3094" "flowers3568" "get you2115" "hello2812" "night night1801" "night night1802" "piggy2640" "quack quack3096" "quack quack3139"
"baby2107" 6.35800605550451 3.35410196624968 11.511714313228 8.51391526652491 11.4606460724236 13.5941081826862 8.48528137423857 9.87228132326901 14.4411537267445 2.82842712474619 0 3.82842712474619 9.68674258541436 16.8252424291105 16.8252424291105 8.48528137423857 8.48528137423857 11.2493363664556 5.65685424949238 8.69659108020651 11.9863209139271 17.7263454990756 9.68674258541436 9.68674258541436 21.4368141246024 9.77995987511004 6.65685424949238 11.4606460724236 14.2890731971698
"baby2108" 7.35800605550451 3.87228132326901 8.83763431866884 6.20201449088251 8.80379182293118 10.9372539331938 5.82842712474619 10.6925824035673 12.0715609081914 1 3.82842712474619 0 7.85831546066817 18.6536695538567 18.6536695538567 5.82842712474619 5.82842712474619 8.59248211696324 3.82842712474619 6.03973683071413 11.6760731462002 15.0694912495832 7.02988833592198 7.02988833592198 18.9574173292382 7.30056307974577 2.82842712474619 8.80379182293118 11.6322189476774
"beep beep2637" 13.2163215161727 9.73059678393718 11.2601069338268 8.79080322616618 9.18478874581572 11.5316741687218 8.23367399483741 7.19115354047443 11.8429398655779 6.85831546066817 9.68674258541436 7.85831546066817 0 21.98066781551 21.98066781551 8.23367399483741 8.23367399483741 10.9977289870545 5.40524687009122 8.97347903984778 12.0570700690847 14.9431567576808 5.65685424949238 5.65685424949238 19.4798852460727 9.52835249570888 5.02988833592198 9.18478874581572 12.0132158705619
"biscuits2111" 18.2695858961969 20.1793443953602 23.4913038725255 22.4246346627462 25.0264119947949 27.5277478709417 20.4820966786029 18.6975237523795 26.7252304620481 19.6536695538567 16.8252424291105 18.6536695538567 21.98066781551 0 0 20.4820966786029 20.4820966786029 22.1584415215515 18.4820966786029 22.2623570025778 25.5520868362984 29.4247229221563 21.1522406907638 21.1522406907638 33.6110868830948 21.9542326336024 21.4820966786029 25.0264119947949 27.8548391195411
"biscuits3579" 18.2695858961969 20.1793443953602 23.4913038725255 22.4246346627462 25.0264119947949 27.5277478709417 20.4820966786029 18.6975237523795 26.7252304620481 19.6536695538567 16.8252424291105 18.6536695538567 21.98066781551 0 0 20.4820966786029 20.4820966786029 22.1584415215515 18.4820966786029 22.2623570025778 25.5520868362984 29.4247229221563 21.1522406907638 21.1522406907638 33.6110868830948 21.9542326336024 21.4820966786029 25.0264119947949 27.8548391195411
"doggy2112" 12.0148603049969 8.52913557276139 5.85486006373563 5.40980630328164 5.5281099844341 7.93725393319377 0 11.3494366530596 8.50861763875508 5.65685424949238 8.48528137423857 5.82842712474619 8.23367399483741 20.4820966786029 20.4820966786029 0 0 2.76405499221705 2.82842712474619 2.76405499221705 8.40039130770312 11.6108725147323 2.57681974534503 2.57681974534503 14.6568542494924 3 8.65685424949238 5.5281099844341 8.35653710918029
"doggy2113" 12.0148603049969 8.52913557276139 5.85486006373563 5.40980630328164 5.5281099844341 7.93725393319377 0 11.3494366530596 8.50861763875508 5.65685424949238 8.48528137423857 5.82842712474619 8.23367399483741 20.4820966786029 20.4820966786029 0 0 2.76405499221705 2.82842712474619 2.76405499221705 8.40039130770312 11.6108725147323 2.57681974534503 2.57681974534503 14.6568542494924 3 8.65685424949238 5.5281099844341 8.35653710918029
"doggy2114" 14.7789152972139 11.2931905649784 8.61891505595268 8.17386129549869 8.29216497665115 10.7013089254108 2.76405499221705 14.1134916452767 11.2726726309721 8.42090924170943 11.2493363664556 8.59248211696324 10.9977289870545 22.1584415215515 22.1584415215515 2.76405499221705 2.76405499221705 0 5.59248211696324 5.5281099844341 11.1644462999202 14.3749275069494 5.34087473756208 5.34087473756208 17.4209092417094 5.76405499221705 11.4209092417094 8.29216497665115 11.1205921013973
"doggy2638" 9.1864331802507 5.7007084480152 5.85486006373563 5.40980630328164 8.35653710918029 10.76568105794 2.82842712474619 8.52100952831344 8.78429947725216 2.82842712474619 5.65685424949238 3.82842712474619 5.40524687009122 18.4820966786029 18.4820966786029 2.82842712474619 2.82842712474619 5.59248211696324 0 5.59248211696324 11.2288184324493 14.4392996394785 5.40524687009122 5.40524687009122 15.77995987511 4.12310562561766 6.65685424949238 8.35653710918029 11.1849642339265
"doggy2639" 12.2261700109648 8.74044527872934 8.61891505595268 2.64575131106459 2.76405499221705 7.44556854498298 2.76405499221705 13.1296969770346 11.2726726309721 5.86816395546032 8.69659108020651 6.03973683071413 8.97347903984778 22.2623570025778 22.2623570025778 2.76405499221705 2.76405499221705 5.5281099844341 5.59248211696324 0 5.63633631548607 13.4367286590384 3.3166247903554 3.3166247903554 17.4209092417094 5.76405499221705 8.86816395546032 2.76405499221705 5.59248211696324
