"Eetu2860" "Eetu2861" "Eetu3507" "Hippi3511" "Hippi3512" "Hippi3513" "ankka3499" "ankka3500" "ankka3501" "ankka3502" "ankka3503" "anna3506" "heppa3169" "heppa3170" "heppa3171" "heppa3172" "heppa3173" "istuu3514" "istuu3515" "istuu3516" "istuu3517" "istuu3518" "itkee3519" "kakka3182" "kakka3183" "kakka3184" "kakka3185" "kiikkaa1807" "kiikkaa3186" "kiikkaa3187" "kiikkaa3188" "kiikkaa3189" "kiinni1808" "kiinni1809" "kiinni1810" "kiinni1811" "kiinni1812" "kiitos1816" "kukka3196" "kukka3197" "loppu1817" "loppu1818" "loppu3520" "mamma3198" "mamma3199" "nappi3521" "omppu1819" "omppu3522" "pappa3200" "pipi2134" "pipi3201" "pipi3202" "poppa1820" "poppa2135" "rikki3523" "rikki3524" "räppäa2862"
"ankka3503" 6.14505191510159 6.14505191510159 5.65685424949238 6.32455532033676 6.32455532033676 6.32455532033676 0 0 0 0 0 8.48528137423857 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 5.65685424949238 5.65685424949238 5.65685424949238 5.65685424949238 5.65685424949238 0 3.3166247903554 3.3166247903554 3.3166247903554 3.3166247903554 9.9498743710662 3.3166247903554 3.3166247903554 0 3.3166247903554 9.9498743710662 9.9498743710662 6.6332495807108 9.9498743710662 9.9498743710662 6.6332495807108 3.3166247903554 3.3166247903554 12.3258319842781 12.3258319842781 6.32455532033676 11.5900232210637 11.5900232210637 6.32455532033676 12.3258319842781 6.32455532033676 9.15298244508295 9.47890245052378 9.32455532033676 9.32455532033676 15.3258319842781 9.47890245052378 0 0 6.47890245052378
"anna3506" 6.16227766016838 6.16227766016838 6.32455532033676 8.94427190999916 8.94427190999916 8.94427190999916 8.48528137423857 8.48528137423857 8.48528137423857 8.48528137423857 8.48528137423857 0 12.1458340287156 12.1458340287156 12.1458340287156 12.1458340287156 12.1458340287156 6.32455532033676 6.32455532033676 6.32455532033676 6.32455532033676 6.32455532033676 8.48528137423857 11.801906164594 11.801906164594 11.801906164594 11.801906164594 9.3166247903554 11.801906164594 11.801906164594 8.48528137423857 11.801906164594 9.3166247903554 9.3166247903554 6 9.3166247903554 9.3166247903554 6 11.801906164594 11.801906164594 11.6925824035673 11.6925824035673 8.94427190999916 8.97030663140135 8.97030663140135 8.94427190999916 11.6925824035673 8.94427190999916 11.7726990347453 10.4721359549996 11.9442719099992 11.9442719099992 14.6925824035673 10.4721359549996 8.48528137423857 8.48528137423857 7.47213595499958
"heppa3169" 9.3638397788848 9.3638397788848 9.52611743905318 3.20156211871642 3.20156211871642 3.20156211871642 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 12.1458340287156 0 0 0 0 0 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 8.82455532033676 8.82455532033676 8.82455532033676 8.82455532033676 8.5 8.82455532033676 8.82455532033676 9.52611743905318 8.82455532033676 8.5 8.5 9.20156211871642 8.5 8.5 9.20156211871642 8.82455532033676 8.82455532033676 12.3166247903554 12.3166247903554 3.20156211871642 11.3494931308972 11.3494931308972 3.20156211871642 12.3166247903554 3.20156211871642 4.15331193145904 7.03112887414927 4.03112887414927 4.03112887414927 15.7237112777165 7.03112887414927 9.52611743905318 9.52611743905318 6.20156211871642
"heppa3170" 9.3638397788848 9.3638397788848 9.52611743905318 3.20156211871642 3.20156211871642 3.20156211871642 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 12.1458340287156 0 0 0 0 0 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 8.82455532033676 8.82455532033676 8.82455532033676 8.82455532033676 8.5 8.82455532033676 8.82455532033676 9.52611743905318 8.82455532033676 8.5 8.5 9.20156211871642 8.5 8.5 9.20156211871642 8.82455532033676 8.82455532033676 12.3166247903554 12.3166247903554 3.20156211871642 11.3494931308972 11.3494931308972 3.20156211871642 12.3166247903554 3.20156211871642 4.15331193145904 7.03112887414927 4.03112887414927 4.03112887414927 15.7237112777165 7.03112887414927 9.52611743905318 9.52611743905318 6.20156211871642
"heppa3171" 9.3638397788848 9.3638397788848 9.52611743905318 3.20156211871642 3.20156211871642 3.20156211871642 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 12.1458340287156 0 0 0 0 0 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 8.82455532033676 8.82455532033676 8.82455532033676 8.82455532033676 8.5 8.82455532033676 8.82455532033676 9.52611743905318 8.82455532033676 8.5 8.5 9.20156211871642 8.5 8.5 9.20156211871642 8.82455532033676 8.82455532033676 12.3166247903554 12.3166247903554 3.20156211871642 11.3494931308972 11.3494931308972 3.20156211871642 12.3166247903554 3.20156211871642 4.15331193145904 7.03112887414927 4.03112887414927 4.03112887414927 15.7237112777165 7.03112887414927 9.52611743905318 9.52611743905318 6.20156211871642
"heppa3172" 9.3638397788848 9.3638397788848 9.52611743905318 3.20156211871642 3.20156211871642 3.20156211871642 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 12.1458340287156 0 0 0 0 0 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 8.82455532033676 8.82455532033676 8.82455532033676 8.82455532033676 8.5 8.82455532033676 8.82455532033676 9.52611743905318 8.82455532033676 8.5 8.5 9.20156211871642 8.5 8.5 9.20156211871642 8.82455532033676 8.82455532033676 12.3166247903554 12.3166247903554 3.20156211871642 11.3494931308972 11.3494931308972 3.20156211871642 12.3166247903554 3.20156211871642 4.15331193145904 7.03112887414927 4.03112887414927 4.03112887414927 15.7237112777165 7.03112887414927 9.52611743905318 9.52611743905318 6.20156211871642
"heppa3173" 9.3638397788848 9.3638397788848 9.52611743905318 3.20156211871642 3.20156211871642 3.20156211871642 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 12.1458340287156 0 0 0 0 0 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 8.82455532033676 8.82455532033676 8.82455532033676 8.82455532033676 8.5 8.82455532033676 8.82455532033676 9.52611743905318 8.82455532033676 8.5 8.5 9.20156211871642 8.5 8.5 9.20156211871642 8.82455532033676 8.82455532033676 12.3166247903554 12.3166247903554 3.20156211871642 11.3494931308972 11.3494931308972 3.20156211871642 12.3166247903554 3.20156211871642 4.15331193145904 7.03112887414927 4.03112887414927 4.03112887414927 15.7237112777165 7.03112887414927 9.52611743905318 9.52611743905318 6.20156211871642
"istuu3514" 3.3166247903554 3.3166247903554 0 6.32455532033676 6.32455532033676 6.32455532033676 5.65685424949238 5.65685424949238 5.65685424949238 5.65685424949238 5.65685424949238 6.32455532033676 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 0 0 0 0 0 5.65685424949238 8.97347903984778 8.97347903984778 8.97347903984778 8.97347903984778 9.9498743710662 8.97347903984778 8.97347903984778 5.65685424949238 8.97347903984778 9.9498743710662 9.9498743710662 6.6332495807108 9.9498743710662 9.9498743710662 6.6332495807108 8.97347903984778 8.97347903984778 12.3258319842781 12.3258319842781 6.32455532033676 11.5900232210637 11.5900232210637 6.32455532033676 12.3258319842781 6.32455532033676 9.15298244508295 9.47890245052378 9.32455532033676 9.32455532033676 15.3258319842781 9.47890245052378 5.65685424949238 5.65685424949238 6.47890245052378
"istuu3515" 3.3166247903554 3.3166247903554 0 6.32455532033676 6.32455532033676 6.32455532033676 5.65685424949238 5.65685424949238 5.65685424949238 5.65685424949238 5.65685424949238 6.32455532033676 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 0 0 0 0 0 5.65685424949238 8.97347903984778 8.97347903984778 8.97347903984778 8.97347903984778 9.9498743710662 8.97347903984778 8.97347903984778 5.65685424949238 8.97347903984778 9.9498743710662 9.9498743710662 6.6332495807108 9.9498743710662 9.9498743710662 6.6332495807108 8.97347903984778 8.97347903984778 12.3258319842781 12.3258319842781 6.32455532033676 11.5900232210637 11.5900232210637 6.32455532033676 12.3258319842781 6.32455532033676 9.15298244508295 9.47890245052378 9.32455532033676 9.32455532033676 15.3258319842781 9.47890245052378 5.65685424949238 5.65685424949238 6.47890245052378
"istuu3516" 3.3166247903554 3.3166247903554 0 6.32455532033676 6.32455532033676 6.32455532033676 5.65685424949238 5.65685424949238 5.65685424949238 5.65685424949238 5.65685424949238 6.32455532033676 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 9.52611743905318 0 0 0 0 0 5.65685424949238 8.97347903984778 8.97347903984778 8.97347903984778 8.97347903984778 9.9498743710662 8.97347903984778 8.97347903984778 5.65685424949238 8.97347903984778 9.9498743710662 9.9498743710662 6.6332495807108 9.9498743710662 9.9498743710662 6.6332495807108 8.97347903984778 8.97347903984778 12.3258319842781 12.3258319842781 6.32455532033676 11.5900232210637 11.5900232210637 6.32455532033676 12.3258319842781 6.32455532033676 9.15298244508295 9.47890245052378 9.32455532033676 9.32455532033676 15.3258319842781 9.47890245052378 5.65685424949238 5.65685424949238 6.47890245052378
