"super3010" "voilà3016" "ici3000" "marche pas3124" "bravo2990" "marche pas3125" "a pas2982" "voilà3014" "allô2984" "la lune2492" "l'avion2488" "garage2999" "marche pas3123" "ici3001" "encore2995" "là-haut1915" "caché2994" "la lune2493" "le pain3003" "la lune2491"
"l'avion2488" 6.96316218523729 4.59919458696069 5.84637629019939 9.8354435085063 5.89344453570043 9.8354435085063 6.96316218523729 4.59919458696069 4.59919458696069 4.04474968323134 0 7.29177699052795 9.8354435085063 5.52470033994176 6.21550082507708 4.59919458696069 6.27681974534503 6.91703100650035 6.96316218523729 0
"garage2999" 7.40957296959555 2.69258240356725 5.52100952831344 10.2818542928646 6.82658772528613 10.2818542928646 7.40957296959555 2.69258240356725 2.69258240356725 5.56486372683627 7.29177699052795 0 10.2818542928646 5.85486006373563 6.19258240356725 8.43714505010528 5.69258240356725 6.03455898343739 7.40957296959555 7.29177699052795
"marche pas3123" 2.87228132326901 7.58927188929732 6.2263832895187 0 6.3708524601762 0 2.87228132326901 7.58927188929732 7.58927188929732 10.4615532125663 9.8354435085063 10.2818542928646 0 5.91366258841812 6.03455898343739 8.74456264653803 6.07384344198544 13.3338345358353 2.87228132326901 9.8354435085063
"ici3001" 3.04138126514911 3.16227766016838 1.4142135623731 5.91366258841812 4.20594816896262 5.91366258841812 3.04138126514911 3.16227766016838 3.16227766016838 6.03455898343739 5.52470033994176 5.85486006373563 5.91366258841812 0 1.80277563773199 5.56486372683627 2.23606797749979 8.90684030670641 3.04138126514911 5.52470033994176
"encore2995" 3.16227766016838 3.5 1.11803398874989 6.03455898343739 5.12249938994628 6.03455898343739 3.16227766016838 3.5 3.5 6.37228132326901 6.21550082507708 6.19258240356725 6.03455898343739 1.80277563773199 0 6.18890611362441 2.06155281280883 9.24456264653803 3.16227766016838 6.21550082507708
"là-haut1915" 5.87228132326901 5.74456264653803 5.91366258841812 8.74456264653803 5.63633631548607 8.74456264653803 5.87228132326901 5.74456264653803 5.74456264653803 2.87228132326901 4.59919458696069 8.43714505010528 8.74456264653803 5.56486372683627 6.18890611362441 0 5.74456264653803 5.74456264653803 5.87228132326901 4.59919458696069
"caché2994" 3.20156211871642 3 1.73205080756888 6.07384344198544 4.54862616621766 6.07384344198544 3.20156211871642 3 3 5.87228132326901 6.27681974534503 5.69258240356725 6.07384344198544 2.23606797749979 2.06155281280883 5.74456264653803 0 8.74456264653803 3.20156211871642 6.27681974534503
"la lune2493" 10.4615532125663 5.74456264653803 8.57298977128422 13.3338345358353 9.87856796825691 13.3338345358353 10.4615532125663 5.74456264653803 5.74456264653803 2.87228132326901 6.91703100650035 6.03455898343739 13.3338345358353 8.90684030670641 9.24456264653803 5.74456264653803 8.74456264653803 0 10.4615532125663 6.91703100650035
"le pain3003" 0 4.7169905660283 3.35410196624968 2.87228132326901 3.49857113690718 2.87228132326901 0 4.7169905660283 4.7169905660283 7.58927188929732 6.96316218523729 7.40957296959555 2.87228132326901 3.04138126514911 3.16227766016838 5.87228132326901 3.20156211871642 10.4615532125663 0 6.96316218523729
"la lune2491" 6.96316218523729 4.59919458696069 5.84637629019939 9.8354435085063 5.89344453570043 9.8354435085063 6.96316218523729 4.59919458696069 4.59919458696069 4.04474968323134 0 7.29177699052795 9.8354435085063 5.52470033994176 6.21550082507708 4.59919458696069 6.27681974534503 6.91703100650035 6.96316218523729 0
