"Hippi3517" "heppa3184" "heppa3186" "heppa3183" "istuu3522" "kiinni1817" "pappa3206" "heppa3176" "kiinni1815" "loppu1822" "heppa3516" "ankka3509" "heppa3187" "istuu3523" "heppa3185" "kiinni1814" "kakka3189" "Hippi3519" "heppa3177" "kukka3202"
"heppa3516" 0 3.20156211871642 3.20156211871642 3.20156211871642 6.32455532033676 9.3166247903554 2.82842712474619 3.20156211871642 9.3166247903554 11.6925824035673 0 6.32455532033676 3.20156211871642 6.32455532033676 3.20156211871642 6 9.64118011069216 0 3.20156211871642 9.64118011069216
"ankka3509" 6.32455532033676 9.52611743905318 9.52611743905318 9.52611743905318 5.65685424949238 9.9498743710662 9.15298244508295 9.52611743905318 9.9498743710662 12.3258319842781 6.32455532033676 0 9.52611743905318 5.65685424949238 9.52611743905318 6.6332495807108 3.3166247903554 6.32455532033676 9.52611743905318 3.3166247903554
"heppa3187" 3.20156211871642 0 0 0 9.52611743905318 8.5 4.15331193145904 0 8.5 12.3166247903554 3.20156211871642 9.52611743905318 0 9.52611743905318 0 9.20156211871642 8.82455532033676 3.20156211871642 0 8.82455532033676
"istuu3523" 6.32455532033676 9.52611743905318 9.52611743905318 9.52611743905318 0 9.9498743710662 9.15298244508295 9.52611743905318 9.9498743710662 12.3258319842781 6.32455532033676 5.65685424949238 9.52611743905318 0 9.52611743905318 6.6332495807108 8.97347903984778 6.32455532033676 9.52611743905318 8.97347903984778
"heppa3185" 3.20156211871642 0 0 0 9.52611743905318 8.5 4.15331193145904 0 8.5 12.3166247903554 3.20156211871642 9.52611743905318 0 9.52611743905318 0 9.20156211871642 8.82455532033676 3.20156211871642 0 8.82455532033676
"kiinni1814" 6 9.20156211871642 9.20156211871642 9.20156211871642 6.6332495807108 3.3166247903554 8.82842712474619 9.20156211871642 3.3166247903554 5.69258240356725 6 6.6332495807108 9.20156211871642 6.6332495807108 9.20156211871642 0 9.9498743710662 6 9.20156211871642 9.9498743710662
"kakka3189" 9.64118011069216 8.82455532033676 8.82455532033676 8.82455532033676 8.97347903984778 6.6332495807108 9.64118011069216 8.82455532033676 6.6332495807108 12.6746308458599 9.64118011069216 3.3166247903554 8.82455532033676 8.97347903984778 8.82455532033676 9.9498743710662 0 9.64118011069216 8.82455532033676 0
"Hippi3519" 0 3.20156211871642 3.20156211871642 3.20156211871642 6.32455532033676 9.3166247903554 2.82842712474619 3.20156211871642 9.3166247903554 11.6925824035673 0 6.32455532033676 3.20156211871642 6.32455532033676 3.20156211871642 6 9.64118011069216 0 3.20156211871642 9.64118011069216
"heppa3177" 3.20156211871642 0 0 0 9.52611743905318 8.5 4.15331193145904 0 8.5 12.3166247903554 3.20156211871642 9.52611743905318 0 9.52611743905318 0 9.20156211871642 8.82455532033676 3.20156211871642 0 8.82455532033676
"kukka3202" 9.64118011069216 8.82455532033676 8.82455532033676 8.82455532033676 8.97347903984778 6.6332495807108 9.64118011069216 8.82455532033676 6.6332495807108 12.6746308458599 9.64118011069216 3.3166247903554 8.82455532033676 8.97347903984778 8.82455532033676 9.9498743710662 0 9.64118011069216 8.82455532033676 0
