"juna2153" "täällä2892" "tyyny1836" "tyttö3263" "tyttö3264" "lintu2160" "tonttu2171" "kukka3246" "pelle3261" "kaataa2155" "setä2168" "jalka2151" "Muumi/Moomin3251" "luumu3248" "luumu2161" "Muumi/Moomin3257" "kala2157" "kenkä2159" "nenä2165" "nalle3260"
"setä2168" 6.32455532033676 6.8166247903554 12.4789024505238 3.3166247903554 3.3166247903554 0 0 8.97347903984778 9.53455898343739 5.65685424949238 0 6.8166247903554 11.5900232210637 11.5900232210637 8.94427190999916 11.5900232210637 2.82842712474619 6.32455532033676 6.32455532033676 10.4221157585398
"jalka2151" 5.29128784747792 0 11.872281323269 10.1332495807108 10.1332495807108 6.8166247903554 6.8166247903554 11.1332495807108 5.87228132326901 7.8166247903554 6.8166247903554 0 9.19662746008251 9.19662746008251 6.55087614901792 9.19662746008251 6.8166247903554 5.29128784747792 5.29128784747792 7.15877620891112
"Muumi/Moomin3251" 8.97030663140135 9.19662746008251 11.9703066314013 13.4164078649987 13.4164078649987 11.5900232210637 11.5900232210637 13.4164078649987 10.972527336075 11.5900232210637 11.5900232210637 9.19662746008251 0 0 2.64575131106459 0 11.5900232210637 8.97030663140135 8.97030663140135 11.71537451386
"luumu3248" 8.97030663140135 9.19662746008251 11.9703066314013 13.4164078649987 13.4164078649987 11.5900232210637 11.5900232210637 13.4164078649987 10.972527336075 11.5900232210637 11.5900232210637 9.19662746008251 0 0 2.64575131106459 0 11.5900232210637 8.97030663140135 8.97030663140135 11.71537451386
"luumu2161" 6.32455532033676 6.55087614901792 11.808028971233 12.2608967003546 12.2608967003546 8.94427190999916 8.94427190999916 12.2608967003546 9.93968382139072 8.94427190999916 8.94427190999916 6.55087614901792 2.64575131106459 2.64575131106459 0 2.64575131106459 8.94427190999916 6.32455532033676 6.32455532033676 10.6825309991757
"Muumi/Moomin3257" 8.97030663140135 9.19662746008251 11.9703066314013 13.4164078649987 13.4164078649987 11.5900232210637 11.5900232210637 13.4164078649987 10.972527336075 11.5900232210637 11.5900232210637 9.19662746008251 0 0 2.64575131106459 0 11.5900232210637 8.97030663140135 8.97030663140135 11.71537451386
"kala2157" 7.40491834728766 6.8166247903554 13.5592654774747 6.14505191510159 6.14505191510159 2.82842712474619 2.82842712474619 6.14505191510159 9.53455898343739 2.82842712474619 2.82842712474619 6.8166247903554 11.5900232210637 11.5900232210637 8.94427190999916 11.5900232210637 0 7.40491834728766 7.40491834728766 10.9192004135632
"kenkä2159" 0 5.29128784747792 9 9.64118011069216 9.64118011069216 6.32455532033676 6.32455532033676 11.801906164594 9.63570512574651 8.48528137423857 6.32455532033676 5.29128784747792 8.97030663140135 8.97030663140135 6.32455532033676 8.97030663140135 7.40491834728766 0 0 8.25744613040352
"nenä2165" 0 5.29128784747792 9 9.64118011069216 9.64118011069216 6.32455532033676 6.32455532033676 11.801906164594 9.63570512574651 8.48528137423857 6.32455532033676 5.29128784747792 8.97030663140135 8.97030663140135 6.32455532033676 8.97030663140135 7.40491834728766 0 0 8.25744613040352
"nalle3260" 8.25744613040352 7.15877620891112 11.2574461304035 11.3247516529061 11.3247516529061 10.4221157585398 10.4221157585398 12.8160056179763 7.54541769077449 11.4162850685865 10.4221157585398 7.15877620891112 11.71537451386 11.71537451386 10.6825309991757 11.71537451386 10.9192004135632 8.25744613040352 8.25744613040352 0
