"piggie2017" "apple2757" "bottle1996" "Michelle1800" "byebye2001" "glasses3081" "piggie2019" "horsey2764" "bottle1988" "baby2619" "woof woof3083" "byebye2620" "baby1987" "byebye1796" "pap pap2014" "bottle1993" "woof woof3585" "baby1983" "byebye2000" "Michelle1801"
"woof woof3083" 10.949101068614 8.68237102080901 11.5107981455552 13.8423919201965 15.0110801560597 9.82330654595173 11.3213823918831 10.3777514496811 11.5107981455552 8.39329085158246 0 12.2405033738228 12.0029541116118 13.7955608276938 17.4561230191091 11.4464260130261 9.07384344198544 10.9701105969275 12.1826530313136 13.33180121499
"byebye2620" 6.99070478491457 9.3464597590798 11.6630845494352 12.9320123480155 12.302605560557 13.2258159083279 8.81913190966076 11.666760839378 11.6630845494352 6.67563964698657 12.2405033738228 0 8.47417843581078 8.48528137423857 15.6568542494924 11.1713991612244 12.992264437342 5.47417843581078 9.47417843581078 14.36019251437
"baby1987" 5 6.11971497222411 5.60791263783332 12.5210095283134 9.82842712474619 14.8932908515825 6.82842712474619 12.0210095283134 5.60791263783332 5.57681974534503 12.0029541116118 8.47417843581078 0 11.302605560557 16.9463143908104 8.64764946854745 14.7218716604466 3 7 14.7745518900006
"byebye1796" 8.99070478491457 11.3464597590798 11.6630845494352 7.78413781367226 11.1310326853032 14.0804234277962 5.99070478491457 11.2081421045271 11.6630845494352 10.879425305902 13.7955608276938 8.48528137423857 11.302605560557 0 8.82842712474619 11.1713991612244 14.3676229715112 8.30260556055697 8.30260556055697 12.844991643943
"pap pap2014" 16.1138104105322 17.3142746274567 16.5077937921945 16.6125649384185 9.47417843581078 17.5894031429453 14.8191319096608 14.7171218196763 16.5077937921945 18.0509981811558 17.4561230191091 15.6568542494924 16.9463143908104 8.82842712474619 0 16.0161084039837 14.3676229715112 15.4741784358108 11.4741784358108 21.6734187686892
"bottle1993" 9.53313012034457 5.92633265238543 3.03973683071413 13.4901759659128 12.0570700690847 12.3192340310722 9.68747725053159 9.44695270780321 3.03973683071413 11.8054626896836 11.4464260130261 11.1713991612244 8.64764946854745 11.1713991612244 16.0161084039837 0 14.0415831855773 9.22864294433855 9.22864294433855 16.1394169291251
"woof woof3585" 11.7390974055134 11.6113787287824 14.1059553181064 14.4144540640139 9.72187166044661 8.10513737191389 11.8934445357004 8.65958227564324 14.1059553181064 9.14505191510159 9.07384344198544 12.992264437342 14.7218716604466 14.3676229715112 14.3676229715112 14.0415831855773 0 11.7218716604466 11.7218716604466 13.9038633588073
"baby1983" 2 6.7007084480152 6.18890611362441 9.52100952831344 6.82842712474619 11.8932908515825 3.82842712474619 9.02100952831344 6.18890611362441 2.57681974534503 10.9701105969275 5.47417843581078 3 8.30260556055697 15.4741784358108 9.22864294433855 11.7218716604466 0 4 11.7745518900006
"byebye2000" 5.12310562561766 9.82381407363287 6.18890611362441 9.52100952831344 2.82842712474619 11.5948529702989 3.82842712474619 8.72257164702987 6.18890611362441 6.57681974534503 12.1826530313136 9.47417843581078 7 8.30260556055697 11.4741784358108 9.22864294433855 11.7218716604466 4 0 11.7745518900006
"Michelle1801" 11.7859439116871 14.3094263733743 15.1350308788789 11.3094263733743 14.6029790147468 11.2988273955526 8.78594391168714 14.1711087188216 15.1350308788789 10.9246454083473 13.33180121499 14.36019251437 14.7745518900006 12.844991643943 21.6734187686892 16.1394169291251 13.9038633588073 11.7745518900006 11.7745518900006 0
