"found3027" "sleep3135" "baby2498" "biting sound2710" "shoes3406" "bird2515" "doggy2521" "shoes3405" "baby2499" "sleep3411" "biting sound2712" "baby2496" "biting sound1928" "hot3024" "biting sound1927" "alligator1937" "juice2511" "biting sound2715" "train2502" "sleep3409"
"biting sound2712" 15.3166247903554 17.5952415806172 17.6568542494924 0 17.977116262521 19.1231056256177 17.5281099844341 17.977116262521 17.6568542494924 24.6999253709627 0 17.9907047849146 15.2015621187164 17.9332620639982 15.2015621187164 14.7640549922171 21.0557221958688 0 21.017137723904 21
"baby2496" 6.47890245052378 13.1138104105322 3.16227766016838 17.9907047849146 9.62121456567007 7.14505191510159 7.86052514799171 9.62121456567007 3.16227766016838 15.1741038067735 17.9907047849146 0 18.7335519626995 10.2671125994204 18.7335519626995 7.64921544202377 5.89344453570043 17.9907047849146 5.85486006373563 9.76885693668225
"biting sound1928" 18.5181869090718 22.5021251984622 18.9817390562052 15.2015621187164 18.08050271766 21.8595559988955 19.3126811584347 18.08050271766 18.9817390562052 26.6992082055873 15.2015621187164 18.7335519626995 0 21.1348241827146 0 16.5486261662177 21.7985693736538 15.2015621187164 21.759984901689 21.2939613354961
"hot3024" 6.4214597296074 12.8062454102056 9.93326206399819 17.9332620639982 9.84972482314427 13.0563676896159 10.4775773801902 9.84972482314427 9.93326206399819 18.3830651555506 17.9332620639982 10.2671125994204 21.1348241827146 0 21.1348241827146 8.69731705621525 9.87890245052378 17.9332620639982 8.79234785618737 12.9778182854594
"biting sound1927" 18.5181869090718 22.5021251984622 18.9817390562052 15.2015621187164 18.08050271766 21.8595559988955 19.3126811584347 18.08050271766 18.9817390562052 26.6992082055873 15.2015621187164 18.7335519626995 0 21.1348241827146 0 16.5486261662177 21.7985693736538 15.2015621187164 21.759984901689 21.2939613354961
"alligator1937" 6.08067978257245 11.5924821169632 5.86816395546032 14.7640549922171 8.74117125473807 9.32699826165337 2.76405499221705 8.74117125473807 5.86816395546032 15.7226534990758 14.7640549922171 7.64921544202377 16.5486261662177 8.69731705621525 16.5486261662177 0 10.714232852978 14.7640549922171 10.6756483810132 10.3174066289846
"juice2511" 5.73909740551341 14.729802190428 9.05572219586881 21.0557221958688 10.9054851575742 11.884149320615 12.5201074525689 10.9054851575742 9.05572219586881 16.7900955866692 21.0557221958688 5.89344453570043 21.7985693736538 9.87890245052378 21.7985693736538 10.714232852978 0 21.0557221958688 4.26955654485436 11.384848716578
"biting sound2715" 15.3166247903554 17.5952415806172 17.6568542494924 0 17.977116262521 19.1231056256177 17.5281099844341 17.977116262521 17.6568542494924 24.6999253709627 0 17.9907047849146 15.2015621187164 17.9332620639982 15.2015621187164 14.7640549922171 21.0557221958688 0 21.017137723904 21
"train2502" 6.85486006373563 14.3290384995464 9.01713772390401 21.017137723904 11.2509828504656 12.1542591090242 12.3341590381224 11.2509828504656 9.01713772390401 16.3893318957876 21.017137723904 5.85486006373563 21.759984901689 8.79234785618737 21.759984901689 10.6756483810132 4.26955654485436 21.017137723904 0 10.9840850256964
"sleep3409" 9.16227766016838 11.8284271247462 11.2462112512353 21 9.30328255120913 14.7726990347453 11.6348132579692 9.30328255120913 11.2462112512353 5.40524687009122 21 9.76885693668225 21.2939613354961 12.9778182854594 21.2939613354961 10.3174066289846 11.384848716578 21 10.9840850256964 0
