Speaker_ID,gloss1,data_type,degree,threshold
Adeline_31,coucou2605,iter-A,1,0.25
Adeline_31,coucou2608,iter-A,1,0.25
Adeline_31,encore3057,iter-A,1,0.25
Adeline_31,encore3059,iter-A,1,0.25
Adeline_31,encore3060,iter-A,1,0.25
Adeline_31,encore3062,iter-A,1,0.25
Adeline_31,encore3063,iter-A,1,0.25
Adeline_32,au revoir3037,iter-A,1,0.25
Adeline_32,chapeau3043,iter-A,1,0.25
Adeline_32,chapeau3044,iter-A,1,0.25
Adeline_32,chapeau3046,iter-A,1,0.25
Adeline_32,chapeau3047,iter-A,1,0.25
Adeline_32,chapeau3048,iter-A,1,0.25
Adeline_32,chapeau3051,iter-A,1,0.25
Adeline_32,encore3055,iter-A,1,0.25
Adeline_32,encore3062,iter-A,1,0.25
Adeline_32,encore3063,iter-A,1,0.25
Adeline_32,parti3067,iter-A,1,0.25
Adeline_33,au revoir3037,iter-A,1,0.25
Adeline_33,bisou3038,iter-A,1,0.25
Adeline_33,bisou3041,iter-A,1,0.25
Adeline_33,bisou3042,iter-A,1,0.25
Adeline_33,chapeau3048,iter-A,1,0.25
Adeline_33,chapeau3051,iter-A,1,0.25
Adeline_33,encore3060,iter-A,1,0.25
Adeline_33,encore3061,iter-A,1,0.25
Adeline_33,encore3063,iter-A,1,0.25
Adeline_33,parti3067,iter-A,1,0.25
Adeline_33,voiture3070,iter-A,1,0.25
Adeline_34,chapeau3043,iter-A,1,0.25
Adeline_34,chapeau3045,iter-A,1,0.25
Adeline_34,chapeau3047,iter-A,1,0.25
Adeline_34,chapeau3051,iter-A,1,0.25
Adeline_35,au revoir3033,iter-A,1,0.25
Adeline_35,au revoir3035,iter-A,1,0.25
Adeline_35,bisou3038,iter-A,1,0.25
Adeline_35,chapeau3045,iter-A,1,0.25
Adeline_35,chapeau3047,iter-A,1,0.25
Adeline_35,chapeau3051,iter-A,1,0.25
Adeline_35,coucou3052,iter-A,1,0.25
Adeline_35,encore3053,iter-A,1,0.25
Adeline_35,encore3058,iter-A,1,0.25
Adeline_35,encore3060,iter-A,1,0.25
Adeline_35,encore3063,iter-A,1,0.25
Adeline_35,papa2615,iter-A,1,0.25
Adeline_35,voiture3070,iter-A,1,0.25
Adeline_36,au revoir3032,iter-A,1,0.25
Adeline_36,au revoir3035,iter-A,1,0.25
Adeline_36,bisou3041,iter-A,1,0.25
Adeline_36,chapeau3046,iter-A,1,0.25
Adeline_36,chapeau3047,iter-A,1,0.25
Adeline_36,encore3056,iter-A,1,0.25
Adeline_36,encore3058,iter-A,1,0.25
Adeline_36,encore3060,iter-A,1,0.25
Adeline_36,encore3064,iter-A,1,0.25
Adeline_36,parti3067,iter-A,1,0.25
Adeline_36,vachou3068,iter-A,1,0.25
Adeline_36,voiture3070,iter-A,1,0.25
Adeline_37,au revoir3031,iter-A,1,0.25
Adeline_37,au revoir3034,iter-A,1,0.25
Adeline_37,chapeau3043,iter-A,1,0.25
Adeline_37,chapeau3044,iter-A,1,0.25
Adeline_37,chapeau3050,iter-A,1,0.25
Adeline_37,encore3057,iter-A,1,0.25
Adeline_37,encore3061,iter-A,1,0.25
Adeline_37,encore3063,iter-A,1,0.25
Adeline_38,au revoir3035,iter-A,1,0.25
Adeline_38,au revoir3036,iter-A,1,0.25
Adeline_38,bisou3040,iter-A,1,0.25
Adeline_38,bisou3041,iter-A,1,0.25
Adeline_38,chapeau3043,iter-A,1,0.25
Adeline_38,chapeau3044,iter-A,1,0.25
Adeline_38,chapeau3047,iter-A,1,0.25
Adeline_38,chapeau3049,iter-A,1,0.25
Adeline_38,coucou2604,iter-A,1,0.25
Adeline_38,coucou2605,iter-A,1,0.25
Adeline_38,encore3057,iter-A,1,0.25
Adeline_38,encore3061,iter-A,1,0.25
Adeline_39,coucou2603,iter-A,1,0.25
Adeline_39,coucou2607,iter-A,1,0.25
Adeline_39,coucou2608,iter-A,1,0.25
Adeline_39,encore1956,iter-A,1,0.25
Adeline_39,encore3057,iter-A,1,0.25
Adeline_39,encore3062,iter-A,1,0.25
Adeline_4,au revoir3033,iter-A,1,0.25
Adeline_4,bisou3042,iter-A,1,0.25
Adeline_4,chapeau3045,iter-A,1,0.25
Adeline_4,encore3053,iter-A,1,0.25
Adeline_4,encore3054,iter-A,1,0.25
Adeline_4,encore3057,iter-A,1,0.25
Adeline_4,encore3058,iter-A,1,0.25
Adeline_4,encore3061,iter-A,1,0.25
Adeline_4,encore3063,iter-A,1,0.25
Adeline_4,encore3064,iter-A,1,0.25
Adeline_4,voiture3071,iter-A,1,0.25
Adeline_40,au revoir3032,iter-A,1,0.25
Adeline_40,bisou3038,iter-A,1,0.25
Adeline_40,chapeau3045,iter-A,1,0.25
Adeline_40,chapeau3048,iter-A,1,0.25
Adeline_40,chapeau3050,iter-A,1,0.25
Adeline_40,coucou2604,iter-A,1,0.25
Adeline_40,coucou2605,iter-A,1,0.25
Adeline_40,coucou2606,iter-A,1,0.25
Adeline_40,coucou2607,iter-A,1,0.25
Adeline_40,coucou2608,iter-A,1,0.25
Adeline_40,coucou3052,iter-A,1,0.25
Adeline_40,encore3055,iter-A,1,0.25
Adeline_40,encore3058,iter-A,1,0.25
Adeline_40,encore3063,iter-A,1,0.25
Adeline_40,voiture3070,iter-A,1,0.25
Adeline_40,voiture3071,iter-A,1,0.25
Adeline_41,au revoir3033,iter-A,1,0.25
Adeline_41,au revoir3035,iter-A,1,0.25
Adeline_41,chapeau3046,iter-A,1,0.25
Adeline_41,chapeau3051,iter-A,1,0.25
Adeline_41,coucou3052,iter-A,1,0.25
Adeline_41,encore3053,iter-A,1,0.25
Adeline_41,encore3054,iter-A,1,0.25
Adeline_41,encore3055,iter-A,1,0.25
Adeline_41,encore3058,iter-A,1,0.25
Adeline_41,parti3067,iter-A,1,0.25
Adeline_42,au revoir3031,iter-A,1,0.25
Adeline_42,au revoir3032,iter-A,1,0.25
Adeline_42,bisou3038,iter-A,1,0.25
Adeline_42,bisou3039,iter-A,1,0.25
Adeline_42,bisou3041,iter-A,1,0.25
Adeline_42,chapeau3047,iter-A,1,0.25
Adeline_42,chapeau3050,iter-A,1,0.25
Adeline_42,coucou3052,iter-A,1,0.25
Adeline_42,encore3054,iter-A,1,0.25
Adeline_42,encore3055,iter-A,1,0.25
Adeline_42,encore3057,iter-A,1,0.25
Adeline_42,encore3063,iter-A,1,0.25
Adeline_42,encore3064,iter-A,1,0.25
Adeline_42,voilà3069,iter-A,1,0.25
