"Boubou2449" "Boubou2450" "Boubou2451" "Corinne2452" "Maman2458" "Nana2459" "Papa2460" "Papa2461" "Papa2462" "Petit2972" "Pin pon2463" "Pin pon2464" "Pin pon3112" "Popi2465" "Tonton2466" "Tonton2467" "cot cot2453" "croco2454" "croco2455" "croco2456" "croco3111" "les deux2971" "plus grand2457"
"Pin pon2463" 2 2 2 9.2169905660283 6.32455532033676 8.94427190999916 0 0 0 6.3166247903554 0 2.5 6 3.16227766016838 6.32455532033676 6.32455532033676 6.32455532033676 6.32455532033676 6.32455532033676 6.32455532033676 6 6.3166247903554 4.15331193145904
"Pin pon2464" 3.69258240356725 3.69258240356725 3.69258240356725 8.18109218116606 7.06740249812171 8.37726079295291 2.5 2.5 2.5 8.8166247903554 2.5 0 8.5 2.5 6.3638397788848 6.3638397788848 6.3638397788848 6.3638397788848 6.3638397788848 6.3638397788848 5.87228132326901 5.69258240356725 3.87298334620742
"Pin pon3112" 6.82842712474619 6.82842712474619 6.82842712474619 10.372281323269 8.80802897123297 10.4721359549996 6 6 6 6.3166247903554 6 8.5 0 9.16227766016838 9.47890245052378 9.47890245052378 9.47890245052378 9.47890245052378 9.47890245052378 9.47890245052378 6 6.3166247903554 10.153311931459
"Popi2465" 4.3166247903554 4.3166247903554 4.3166247903554 7.91855268474473 7.63441361516796 7.63441361516796 3.16227766016838 3.16227766016838 3.16227766016838 9.47890245052378 3.16227766016838 2.5 9.16227766016838 0 5.99070478491457 5.99070478491457 5.99070478491457 5.99070478491457 5.99070478491457 5.99070478491457 6.3166247903554 4 4.15331193145904
"Tonton2466" 6.6332495807108 6.6332495807108 6.6332495807108 8.77200187265877 8.94427190999916 8.48528137423857 6.32455532033676 6.32455532033676 6.32455532033676 9.79552724087918 6.32455532033676 6.3638397788848 9.47890245052378 5.99070478491457 0 0 0 0 0 0 6.6332495807108 6.3166247903554 6.80233260480864
"Tonton2467" 6.6332495807108 6.6332495807108 6.6332495807108 8.77200187265877 8.94427190999916 8.48528137423857 6.32455532033676 6.32455532033676 6.32455532033676 9.79552724087918 6.32455532033676 6.3638397788848 9.47890245052378 5.99070478491457 0 0 0 0 0 0 6.6332495807108 6.3166247903554 6.80233260480864
"cot cot2453" 6.6332495807108 6.6332495807108 6.6332495807108 8.77200187265877 8.94427190999916 8.48528137423857 6.32455532033676 6.32455532033676 6.32455532033676 9.79552724087918 6.32455532033676 6.3638397788848 9.47890245052378 5.99070478491457 0 0 0 0 0 0 6.6332495807108 6.3166247903554 6.80233260480864
"croco2454" 6.6332495807108 6.6332495807108 6.6332495807108 8.77200187265877 8.94427190999916 8.48528137423857 6.32455532033676 6.32455532033676 6.32455532033676 9.79552724087918 6.32455532033676 6.3638397788848 9.47890245052378 5.99070478491457 0 0 0 0 0 0 6.6332495807108 6.3166247903554 6.80233260480864
"croco2455" 6.6332495807108 6.6332495807108 6.6332495807108 8.77200187265877 8.94427190999916 8.48528137423857 6.32455532033676 6.32455532033676 6.32455532033676 9.79552724087918 6.32455532033676 6.3638397788848 9.47890245052378 5.99070478491457 0 0 0 0 0 0 6.6332495807108 6.3166247903554 6.80233260480864
"croco2456" 6.6332495807108 6.6332495807108 6.6332495807108 8.77200187265877 8.94427190999916 8.48528137423857 6.32455532033676 6.32455532033676 6.32455532033676 9.79552724087918 6.32455532033676 6.3638397788848 9.47890245052378 5.99070478491457 0 0 0 0 0 0 6.6332495807108 6.3166247903554 6.80233260480864
"croco3111" 5.65685424949238 5.65685424949238 5.65685424949238 5.74456264653803 5.29150262212918 6 6 6 6 6.3166247903554 6 5.87228132326901 6 6.3166247903554 6.6332495807108 6.6332495807108 6.6332495807108 6.6332495807108 6.6332495807108 6.6332495807108 0 3.16227766016838 5.69258240356725
"les deux2971" 5.99070478491457 5.99070478491457 5.99070478491457 5.56486372683627 6.76885693668225 5.64575131106459 6.3166247903554 6.3166247903554 6.3166247903554 6.6332495807108 6.3166247903554 5.69258240356725 6.3166247903554 4 6.3166247903554 6.3166247903554 6.3166247903554 6.3166247903554 6.3166247903554 6.3166247903554 3.16227766016838 0 6.77491721763537
"plus grand2457" 4.77491721763537 4.77491721763537 4.77491721763537 8.32254184149229 6.93719487780375 8.24705317263495 4.15331193145904 4.15331193145904 4.15331193145904 10.4699367218144 4.15331193145904 3.87298334620742 10.153311931459 4.15331193145904 6.80233260480864 6.80233260480864 6.80233260480864 6.80233260480864 6.80233260480864 6.80233260480864 5.69258240356725 6.77491721763537 0
