"I want it2296" "I want it2297" "all gone2302" "all gone2303" "all gone2304" "all gone2305" "all gone2306" "baby3105" "byebye2277" "byebye2278" "byebye2279" "car1865" "car2282" "car2283" "car2691" "car3325" "cheers2280" "cheers2281" "choochoo2313" "choochoo2314" "doggie2315" "don't1866" "foot2275" "foot2276" "foot3549" "hello1870" "here2298" "here2299" "hold me2284" "hold me2285" "hold me3326" "hot3550" "hot3551" "hot3552" "juice2291" "juice2292" "juice2293" "juice2294" "juice2295" "jump1867" "jump1868" "jump1869" "jump2289" "jump2290" "mummy2301" "ouch2908" "ouch2909" "ouch2910" "ouch2911" "ouch3106" "please2287" "shoes3330" "shoes3331" "take off clothes2312" "telephone2286" "this2300" "where2288"
"byebye2279" 12.3637079597312 12.7759604954159 8.63481325796916 11.4632403827154 11.4632403827154 8.63481325796916 9.13819494626216 8.96606948309956 6.07947366142827 6.07947366142827 0 5.80379182293118 6.22575296650935 7.31268115843472 5.5281099844341 8.90790078617446 7.86052514799171 7.86052514799171 6.99714227381436 6.07947366142827 3 4.91812091507085 8.67808543859633 6.97000316117967 13.7799989178638 7.31268115843472 8.54166260162505 7.97083130081252 15.3624268125439 12.2579028907449 12.1961435398891 14.0754604957877 14.0754604957877 14.0754604957877 15.0969271979139 8.84533775499839 15.0969271979139 15.0969271979139 15.0969271979139 16.1616630548397 22.1616630548397 18.8763459316238 12.1381949462622 8.31935945418476 0 7.88655438216333 7.88655438216333 7.58484330949463 7.58484330949463 10.398086411557 14.7952161252452 11.8582873919804 11.8582873919804 7.08146162120163 7.86052514799171 8.10358488015988 9.0916196180901
"car1865" 10.1625191253817 10.5747716610664 7.12310562561766 9.95153275036385 9.95153275036385 7.12310562561766 6.16227766016838 8.81913190966076 2.82842712474619 2.82842712474619 5.80379182293118 0 4.19258240356725 3.35410196624968 2.82842712474619 5.65685424949238 5.99070478491457 5.99070478491457 4 2.82842712474619 8.80379182293118 2.64575131106459 6.76405499221705 5.52100952831344 12.038496450802 4.15331193145904 6.6332495807108 6.00920719392265 12.9734790398478 9.99070478491457 10.6332495807108 12.333958028726 12.333958028726 12.333958028726 11.6325419412138 5.94604696701439 11.6325419412138 11.6325419412138 11.6325419412138 11.7390974055134 17.7390974055134 14.4537802822976 9.16227766016838 6.16227766016838 5.80379182293118 6.14505191510159 6.14505191510159 5.99070478491457 5.99070478491457 9.14505191510159 11.4781948110268 9.9498743710662 9.9498743710662 4.12310562561766 5.99070478491457 6.51818690907182 6.47890245052378
"car2282" 10.4055833133576 10.8178358490424 8.06225774829855 10.8906848730447 10.8906848730447 8.06225774829855 7.2326909928657 7.35486006373563 3 3 6.22575296650935 4.19258240356725 0 5.69258240356725 5.3851648071345 5.82842712474619 4.70156211871642 4.70156211871642 3.60555127546399 3 9.22575296650935 5.56486372683627 7.44847790751248 5.52100952831344 11.9401289055174 7.05148134710793 7.81024967590665 7.36922645309108 14.6890556604191 10.3019911161214 11.4937515009675 12.2355904834414 12.2355904834414 12.2355904834414 11.7093035756562 6.66033032213868 11.7093035756562 11.7093035756562 11.7093035756562 14.4709642676287 20.4709642676287 17.1856471444129 10.2326909928657 5.00433775644842 6.22575296650935 6.04668436981694 6.04668436981694 5.89414452228368 5.89414452228368 10.0403360680719 11.5567637281229 11.1268744662621 11.1268744662621 6.72371127771653 4.70156211871642 7.77810818416074 7.10668695666975
"car2283" 9.75086458069659 10.1631171163813 5.69258240356725 8.52100952831344 8.52100952831344 5.69258240356725 4.11803398874989 8.86298610818358 6.18252909099587 6.18252909099587 7.31268115843472 3.35410196624968 5.69258240356725 0 2.87228132326901 9.01095621574206 3.94646111349609 3.94646111349609 6.5 6.18252909099587 10.3126811584347 4.15331193145904 5.80543625736616 5.56486372683627 12.0823506493248 3.74165738677394 6.51818690907182 5.89414452228368 12.0148603049969 9.03208605006368 9.67463084585991 12.3778122272488 12.3778122272488 12.3778122272488 9.58829826979535 4.96176253295548 9.58829826979535 9.58829826979535 9.58829826979535 9.69485373409492 15.6948537340949 12.4095366108791 7.11803398874989 4.11803398874989 7.31268115843472 6.18890611362441 6.18890611362441 6.03455898343739 6.03455898343739 9.18890611362441 9.43395113960833 9.83481169942722 9.83481169942722 2.69258240356725 3.94646111349609 6.40312423743285 4.43465877910529
"car2691" 9.21076931263908 9.62302184832383 6 8.82842712474619 8.82842712474619 6 6.16227766016838 5.99070478491457 5.65685424949238 5.65685424949238 5.5281099844341 2.82842712474619 5.3851648071345 2.87228132326901 0 8.48528137423857 5.99070478491457 5.99070478491457 6 5.65685424949238 8.5281099844341 2.64575131106459 5.59248211696324 2.69258240356725 9.21006932605582 3.20156211871642 6.6332495807108 6.00920719392265 11.801906164594 8.81913190966076 9.46167670545699 9.50553090397981 9.50553090397981 9.50553090397981 11.6325419412138 5.87877538267963 11.6325419412138 11.6325419412138 11.6325419412138 11.7390974055134 17.7390974055134 14.4537802822976 9.16227766016838 6.16227766016838 5.5281099844341 3.3166247903554 3.3166247903554 3.16227766016838 3.16227766016838 6.3166247903554 11.4781948110268 9.9498743710662 9.9498743710662 3 5.99070478491457 6.51818690907182 6.47890245052378
"car3325" 12.9909462501279 13.4031987858126 11.0746383759815 13.9030655007277 13.9030655007277 11.0746383759815 10.1138104105322 8.81913190966076 2.82842712474619 2.82842712474619 8.90790078617446 5.65685424949238 5.82842712474619 9.01095621574206 8.48528137423857 0 5.99070478491457 5.99070478491457 4.82842712474619 2.82842712474619 11.9079007861745 8.30260556055697 9.66391650049776 8.8584163682088 12.038496450802 9.81016618095142 9.46167670545699 9.34661403381801 16.9734790398478 12.8191319096608 10.6332495807108 12.333958028726 12.333958028726 12.333958028726 14.46096906596 8.84174567609535 14.46096906596 14.46096906596 14.46096906596 15.6906301558773 21.6906301558773 17.2822074070438 13.1138104105322 6.99070478491457 8.90790078617446 8.97347903984778 8.97347903984778 8.81913190966076 8.81913190966076 13.0965846654654 14.306621935773 9.9498743710662 9.9498743710662 9.77995987511004 5.99070478491457 10.0501767530549 9.30732957526997
"cheers2280" 9.91433203187598 10.3265845675607 6.76885693668225 9.59728406142844 9.59728406142844 6.76885693668225 4.12310562561766 6.32455532033676 3.16227766016838 3.16227766016838 7.86052514799171 5.99070478491457 4.70156211871642 3.94646111349609 5.99070478491457 5.99070478491457 0 0 4.3166247903554 3.16227766016838 10.8605251479917 6.95153275036385 5.99776703591994 6.3638397788848 12.3723469862242 6.73355196269952 6.3166247903554 6.20156211871642 13.30732957527 9.15298244508295 9.79552724087918 12.6678085641482 12.6678085641482 12.6678085641482 8.47026428104545 4.75021885309085 8.47026428104545 8.47026428104545 8.47026428104545 11.4052468700912 17.4052468700912 14.1199297468754 7.12310562561766 1 7.86052514799171 6.47890245052378 6.47890245052378 6.32455532033676 6.32455532033676 10.6020080761414 8.31591715085843 9.6332495807108 9.6332495807108 5.47417843581078 0 6.90512483795333 3.3166247903554
"cheers2281" 9.91433203187598 10.3265845675607 6.76885693668225 9.59728406142844 9.59728406142844 6.76885693668225 4.12310562561766 6.32455532033676 3.16227766016838 3.16227766016838 7.86052514799171 5.99070478491457 4.70156211871642 3.94646111349609 5.99070478491457 5.99070478491457 0 0 4.3166247903554 3.16227766016838 10.8605251479917 6.95153275036385 5.99776703591994 6.3638397788848 12.3723469862242 6.73355196269952 6.3166247903554 6.20156211871642 13.30732957527 9.15298244508295 9.79552724087918 12.6678085641482 12.6678085641482 12.6678085641482 8.47026428104545 4.75021885309085 8.47026428104545 8.47026428104545 8.47026428104545 11.4052468700912 17.4052468700912 14.1199297468754 7.12310562561766 1 7.86052514799171 6.47890245052378 6.47890245052378 6.32455532033676 6.32455532033676 10.6020080761414 8.31591715085843 9.6332495807108 9.6332495807108 5.47417843581078 0 6.90512483795333 3.3166247903554
"choochoo2313" 9.88598893788491 10.2982414735697 8.94427190999916 11.7726990347453 11.7726990347453 8.94427190999916 7.78876074535498 7.16227766016838 2 2 6.99714227381436 4 3.60555127546399 6.5 6 4.82842712474619 4.3166247903554 4.3166247903554 0 2 9.99714227381436 6.16227766016838 7.12976490129224 6.04138126514911 12.0557221958688 7.03112887414927 6.32455532033676 6.20365892531749 14.3912631663369 10.2681575407193 10.6020080761414 12.3511837737928 12.3511837737928 12.3511837737928 11.6325419412138 5.67097875150313 11.6325419412138 11.6325419412138 11.6325419412138 14.8934445357004 20.8934445357004 17.6081274124846 10.788760745355 3.3166247903554 6.99714227381436 6.16227766016838 6.16227766016838 6.3166247903554 6.3166247903554 10.788760745355 11.7868890714009 9.64118011069216 9.64118011069216 7.47213595499958 4.3166247903554 7.43427953282714 6.47890245052378
"choochoo2314" 10.1625191253817 10.5747716610664 8.24621125123532 11.0746383759815 11.0746383759815 8.24621125123532 7.28538328578604 5.99070478491457 0 0 6.07947366142827 2.82842712474619 3 6.18252909099587 5.65685424949238 2.82842712474619 3.16227766016838 3.16227766016838 2 0 9.07947366142827 5.47417843581078 6.83548937575156 6.02998924346261 12.038496450802 6.98173905620523 6.6332495807108 6.51818690907182 14.1450519151016 9.99070478491457 10.6332495807108 12.333958028726 12.333958028726 12.333958028726 11.6325419412138 6.01331855134916 11.6325419412138 11.6325419412138 11.6325419412138 14.5675245302596 20.5675245302596 17.2822074070438 10.285383285786 4.16227766016838 6.07947366142827 6.14505191510159 6.14505191510159 5.99070478491457 5.99070478491457 10.2681575407193 11.4781948110268 9.9498743710662 9.9498743710662 6.95153275036385 3.16227766016838 7.22174962830873 6.47890245052378
