gloss1,gloss2,Speaker,word_pair,distance,distance_norm,data_type
bobo999,chapeau1002,Adeline,bobo999_chapeau1002,4.201562118716424,0.34752699730651,target
bobo1000,chapeau1002,Adeline,bobo1000_chapeau1002,4.201562118716424,0.34752699730651,target
bobo1001,chapeau1002,Adeline,bobo1001_chapeau1002,4.201562118716424,0.34752699730651,target
chapeau1003,chapeau1002,Adeline,chapeau1002_chapeau1003,0,0,target
chapeau1004,chapeau1002,Adeline,chapeau1002_chapeau1004,0,0,target
chapeau1005,chapeau1002,Adeline,chapeau1002_chapeau1005,0,0,target
chapeau1006,chapeau1002,Adeline,chapeau1002_chapeau1006,0,0,target
chapeau1007,chapeau1002,Adeline,chapeau1002_chapeau1007,0,0,target
chapeau1008,chapeau1002,Adeline,chapeau1002_chapeau1008,0,0,target
chapeau1009,chapeau1002,Adeline,chapeau1002_chapeau1009,0,0,target
chapeau1010,chapeau1002,Adeline,chapeau1002_chapeau1010,0,0,target
coucou1011,chapeau1002,Adeline,chapeau1002_coucou1011,4.965053297900374,0.41067822284470673,target
coucou1012,chapeau1002,Adeline,chapeau1002_coucou1012,4.965053297900374,0.41067822284470673,target
coucou1013,chapeau1002,Adeline,chapeau1002_coucou1013,4.965053297900374,0.41067822284470673,target
coucou1014,chapeau1002,Adeline,chapeau1002_coucou1014,4.965053297900374,0.41067822284470673,target
coucou1015,chapeau1002,Adeline,chapeau1002_coucou1015,4.965053297900374,0.41067822284470673,target
coucou1016,chapeau1002,Adeline,chapeau1002_coucou1016,4.965053297900374,0.41067822284470673,target
coucou1017,chapeau1002,Adeline,chapeau1002_coucou1017,4.965053297900374,0.41067822284470673,target
coucou1018,chapeau1002,Adeline,chapeau1002_coucou1018,4.965053297900374,0.41067822284470673,target
coucou1019,chapeau1002,Adeline,chapeau1002_coucou1019,4.965053297900374,0.41067822284470673,target
coucou1020,chapeau1002,Adeline,chapeau1002_coucou1020,4.965053297900374,0.41067822284470673,target
dodo1021,chapeau1002,Adeline,chapeau1002_dodo1021,5.3781776031642305,0.4448492871455595,target
maman1022,chapeau1002,Adeline,chapeau1002_maman1022,7.434279532827144,0.6149172070244089,target
maman1023,chapeau1002,Adeline,chapeau1002_maman1023,7.434279532827144,0.6149172070244089,target
maman1024,chapeau1002,Adeline,chapeau1002_maman1024,7.434279532827144,0.6149172070244089,target
oiseau1025,chapeau1002,Adeline,chapeau1002_oiseau1025,7.705948168962618,0.6373879411730115,target
papa1026,chapeau1002,Adeline,chapeau1002_papa1026,3.0413812651491097,0.251564077568475,target
papa1027,chapeau1002,Adeline,chapeau1002_papa1027,3.0413812651491097,0.251564077568475,target
papa1028,chapeau1002,Adeline,chapeau1002_papa1028,3.0413812651491097,0.251564077568475,target
parti1029,chapeau1002,Adeline,chapeau1002_parti1029,9.358006055504509,0.7740358593672664,target
vachou1030,chapeau1002,Adeline,chapeau1002_vachou1030,5.490871007932288,0.45417058228977003,target
voilà1031,chapeau1002,Adeline,chapeau1002_voilà1031,9.93053530102853,0.8213919055103875,target
voilà1032,chapeau1002,Adeline,chapeau1002_voilà1032,9.93053530102853,0.8213919055103875,target
voiture1033,chapeau1002,Adeline,chapeau1002_voiture1033,8.375822395168608,0.6927957566065507,target
voiture1034,chapeau1002,Adeline,chapeau1002_voiture1034,8.375822395168608,0.6927957566065507,target
encore1326,chapeau1002,Adeline,chapeau1002_encore1326,5.854860063735631,0.48427748539903837,target
encore1327,chapeau1002,Adeline,chapeau1002_encore1327,5.854860063735631,0.48427748539903837,target
encore1328,chapeau1002,Adeline,chapeau1002_encore1328,5.854860063735631,0.48427748539903837,target
encore1329,chapeau1002,Adeline,chapeau1002_encore1329,5.854860063735631,0.48427748539903837,target
encore1330,chapeau1002,Adeline,chapeau1002_encore1330,5.854860063735631,0.48427748539903837,target
encore1331,chapeau1002,Adeline,chapeau1002_encore1331,5.854860063735631,0.48427748539903837,target
encore1332,chapeau1002,Adeline,chapeau1002_encore1332,5.854860063735631,0.48427748539903837,target
encore1333,chapeau1002,Adeline,chapeau1002_encore1333,5.854860063735631,0.48427748539903837,target
encore1334,chapeau1002,Adeline,chapeau1002_encore1334,5.854860063735631,0.48427748539903837,target
encore1335,chapeau1002,Adeline,chapeau1002_encore1335,5.854860063735631,0.48427748539903837,target
encore1336,chapeau1002,Adeline,chapeau1002_encore1336,5.854860063735631,0.48427748539903837,target
encore1337,chapeau1002,Adeline,chapeau1002_encore1337,5.854860063735631,0.48427748539903837,target
encore1338,chapeau1002,Adeline,chapeau1002_encore1338,5.854860063735631,0.48427748539903837,target
encore1339,chapeau1002,Adeline,chapeau1002_encore1339,5.854860063735631,0.48427748539903837,target
au revoir1468,chapeau1002,Adeline,au revoir1468_chapeau1002,8.149219799351554,0.6740526040644624,target
au revoir1469,chapeau1002,Adeline,au revoir1469_chapeau1002,8.149219799351554,0.6740526040644624,target
au revoir1470,chapeau1002,Adeline,au revoir1470_chapeau1002,8.149219799351554,0.6740526040644624,target
au revoir1471,chapeau1002,Adeline,au revoir1471_chapeau1002,8.149219799351554,0.6740526040644624,target
au revoir1472,chapeau1002,Adeline,au revoir1472_chapeau1002,8.149219799351554,0.6740526040644624,target
au revoir1473,chapeau1002,Adeline,au revoir1473_chapeau1002,8.149219799351554,0.6740526040644624,target
au revoir1474,chapeau1002,Adeline,au revoir1474_chapeau1002,8.149219799351554,0.6740526040644624,target
au revoir1475,chapeau1002,Adeline,au revoir1475_chapeau1002,8.149219799351554,0.6740526040644624,target
chapeau1002,chapeau1003,Adeline,chapeau1002_chapeau1003,0,0,target
bisou994,coucou1011,Adeline,bisou994_coucou1011,6.518186909071824,0.5391437423479923,target
bisou995,coucou1011,Adeline,bisou995_coucou1011,6.518186909071824,0.5391437423479923,target
bisou996,coucou1011,Adeline,bisou996_coucou1011,6.518186909071824,0.5391437423479923,target
bisou997,coucou1011,Adeline,bisou997_coucou1011,6.518186909071824,0.5391437423479923,target
