"idhar1888" "idhar3558" "baba2697" "JUICE do3366" "mama3350" "dawaye1891" "mama3356" "UNCLE2948" "mama3352" "AUNTI3556" "dada3365" "AUNTI2942" "mama1879" "dawaye1889" "dawaye1890" "pani2388" "Durrain3359" "baba2696" "na/ nahin1882" "na/ nahin1887"
"dada3365" 6.32455532033676 3.16227766016838 9.48683298050514 2.5 16.6999915335329 6.32455532033676 16.6999915335329 12.2869314217567 16.6999915335329 5.16227766016838 0 12.2869314217567 10.4476609459544 6.32455532033676 6.32455532033676 9.93113459685063 0 9.48683298050514 8.97030663140135 8.97030663140135
"AUNTI2942" 9.47890245052378 9.12465376158837 6.3166247903554 14.7869314217567 14.4161563837176 9.47890245052378 14.4161563837176 2.82842712474619 14.4161563837176 9.79552724087918 12.2869314217567 0 8.96237610141999 9.47890245052378 9.47890245052378 5.96237610141999 12.2869314217567 6.3166247903554 9.3166247903554 9.3166247903554
"mama1879" 4.12310562561766 8.97030663140135 2.64575131106459 12.9476609459544 7.93725393319377 4.12310562561766 7.93725393319377 8.96237610141999 7.93725393319377 9.27900089177539 10.4476609459544 8.96237610141999 0 4.12310562561766 4.12310562561766 3 10.4476609459544 2.64575131106459 3.16227766016838 3.16227766016838
"dawaye1889" 0 9.48683298050514 3.16227766016838 8.82455532033676 12.0603595588114 0 12.0603595588114 9.47890245052378 12.0603595588114 9.79552724087918 6.32455532033676 9.47890245052378 4.12310562561766 0 0 7.12310562561766 6.32455532033676 3.16227766016838 2.64575131106459 2.64575131106459
"dawaye1890" 0 9.48683298050514 3.16227766016838 8.82455532033676 12.0603595588114 0 12.0603595588114 9.47890245052378 12.0603595588114 9.79552724087918 6.32455532033676 9.47890245052378 4.12310562561766 0 0 7.12310562561766 6.32455532033676 3.16227766016838 2.64575131106459 2.64575131106459
"pani2388" 7.12310562561766 8.45378028229756 5.64575131106459 12.4311345968506 8.45378028229756 7.12310562561766 8.45378028229756 5.96237610141999 8.45378028229756 9.12465376158837 9.93113459685063 5.96237610141999 3 7.12310562561766 7.12310562561766 0 9.93113459685063 5.64575131106459 6.16227766016838 6.16227766016838
"Durrain3359" 6.32455532033676 3.16227766016838 9.48683298050514 2.5 16.6999915335329 6.32455532033676 16.6999915335329 12.2869314217567 16.6999915335329 5.16227766016838 0 12.2869314217567 10.4476609459544 6.32455532033676 6.32455532033676 9.93113459685063 0 9.48683298050514 8.97030663140135 8.97030663140135
"baba2696" 3.16227766016838 6.32455532033676 0 11.9868329805051 10.5830052442584 3.16227766016838 10.5830052442584 6.3166247903554 10.5830052442584 6.6332495807108 9.48683298050514 6.3166247903554 2.64575131106459 3.16227766016838 3.16227766016838 5.64575131106459 9.48683298050514 0 3 3
"na/ nahin1882" 2.64575131106459 9.32455532033676 3 11.4703066314013 11.0995315933622 2.64575131106459 11.0995315933622 9.3166247903554 11.0995315933622 9.6332495807108 8.97030663140135 9.3166247903554 3.16227766016838 2.64575131106459 2.64575131106459 6.16227766016838 8.97030663140135 3 0 0
"na/ nahin1887" 2.64575131106459 9.32455532033676 3 11.4703066314013 11.0995315933622 2.64575131106459 11.0995315933622 9.3166247903554 11.0995315933622 9.6332495807108 8.97030663140135 9.3166247903554 3.16227766016838 2.64575131106459 2.64575131106459 6.16227766016838 8.97030663140135 3 0 0
