"AUNTI2949" "mama3359" "na/ nahin1885" "baba3363" "mama3361" "idhar3565" "Durrain3366" "UNCLE2957" "na/ nahin1888" "anda2950" "baba2697" "idhar3566" "anda2951" "UNCLE2953" "chunti2387" "ooper3568" "ajao2694" "na/ nahin1884" "Bazil3364" "na/ nahin1882"
"baba2697" 6.3166247903554 10.5830052442584 3 8.48528137423857 10.5830052442584 6.32455532033676 9.48683298050514 6.3166247903554 3 6.16227766016838 0 6.32455532033676 6.16227766016838 9.18890611362441 9.6332495807108 6 0 3 9.15298244508295 3
"idhar3566" 9.12465376158837 15.2226372189798 9.32455532033676 9.15298244508295 15.2226372189798 0 3.16227766016838 9.12465376158837 9.32455532033676 8.97030663140135 6.32455532033676 0 8.97030663140135 11.9969350848574 12.4412785519438 6.6332495807108 6.32455532033676 9.32455532033676 2.82842712474619 9.32455532033676
"anda2951" 2.23606797749979 14.2618092535305 9.16227766016838 12.9422375352784 14.2618092535305 8.97030663140135 12.1325842915697 3.60555127546399 9.16227766016838 0 6.16227766016838 8.97030663140135 0 6.477832598733 5.55269276785519 10.634413615168 6.16227766016838 9.16227766016838 11.7987337561475 9.16227766016838
"UNCLE2953" 5.7007084480152 17.2884377069866 12.1889061136244 15.9688659887345 17.2884377069866 11.9969350848574 15.1592127450258 2.87228132326901 12.1889061136244 6.477832598733 9.18890611362441 11.9969350848574 6.477832598733 0 9.0173332383706 13.661042068624 9.18890611362441 12.1889061136244 14.8253622096036 12.1889061136244
"chunti2387" 3.3166247903554 16.2425410276525 9.47890245052378 13.5847823310747 16.2425410276525 12.4412785519438 10.1246537615884 6.14505191510159 9.47890245052378 5.55269276785519 9.6332495807108 12.4412785519438 5.55269276785519 9.0173332383706 0 14.1053855357104 9.6332495807108 9.47890245052378 12.4412785519438 9.47890245052378
"ooper3568" 10.788760745355 14.0995315933622 9 4.82842712474619 14.0995315933622 6.6332495807108 9.79552724087918 10.788760745355 9 10.634413615168 6 6.6332495807108 10.634413615168 13.661042068624 14.1053855357104 0 6 9 9.46167670545699 9
"ajao2694" 6.3166247903554 10.5830052442584 3 8.48528137423857 10.5830052442584 6.32455532033676 9.48683298050514 6.3166247903554 3 6.16227766016838 0 6.32455532033676 6.16227766016838 9.18890611362441 9.6332495807108 6 0 3 9.15298244508295 3
"na/ nahin1884" 9.3166247903554 11.0995315933622 0 9.77995987511004 11.0995315933622 9.32455532033676 8.97030663140135 9.3166247903554 0 9.16227766016838 3 9.32455532033676 9.16227766016838 12.1889061136244 9.47890245052378 9 3 0 10.4476609459544 0
"Bazil3364" 11.9530808863346 15.2226372189798 10.4476609459544 6.32455532033676 15.2226372189798 2.82842712474619 3.16227766016838 11.9530808863346 10.4476609459544 11.7987337561475 9.15298244508295 2.82842712474619 11.7987337561475 14.8253622096036 12.4412785519438 9.46167670545699 9.15298244508295 10.4476609459544 0 10.4476609459544
"na/ nahin1882" 9.3166247903554 11.0995315933622 0 9.77995987511004 11.0995315933622 9.32455532033676 8.97030663140135 9.3166247903554 0 9.16227766016838 3 9.32455532033676 9.16227766016838 12.1889061136244 9.47890245052378 9 3 0 10.4476609459544 0
