Speaker_ID,Speaker,ID,path_length,mean_k,clust_coef_global,Language,data_type
Rachel_44,Rachel,44,0.2086220459161177,5.7,0.5298165137614679,UK,iter_T
Rachel_45,Rachel,45,0.2012957133498052,4.6,0.5544554455445545,UK,iter_T
Rachel_46,Rachel,46,0.1895797365975914,5.8,0.5928853754940712,UK,iter_T
Rachel_47,Rachel,47,0.2029198754234916,4,0.5529411764705883,UK,iter_T
Rachel_48,Rachel,48,0.20185154397361757,7.9,0.6604774535809018,UK,iter_T
Rachel_49,Rachel,49,0.19708971937807457,4.9,0.6774193548387096,UK,iter_T
Rachel_5,Rachel,5,0.25811931149932593,5.2,0.5660377358490566,UK,iter_T
Rachel_50,Rachel,50,0.29642418782167185,5.2,0.656,UK,iter_T
Rachel_51,Rachel,51,0.2590610999057337,5,0.5446685878962536,UK,iter_T
Rachel_52,Rachel,52,0.20646867863182528,5.6,0.6581986143187067,UK,iter_T
Rachel_53,Rachel,53,0.19253538091404981,5.4,0.6537530266343826,UK,iter_T
Rachel_54,Rachel,54,0.2700173039532312,6.5,0.6054054054054054,UK,iter_T
Rachel_55,Rachel,55,0.30177700439946564,4.2,0.5950413223140496,UK,iter_T
Rachel_56,Rachel,56,0.2575402668662798,6,0.6973947895791583,UK,iter_T
Rachel_57,Rachel,57,0.19967105045778857,5.4,0.6464891041162227,UK,iter_T
Rachel_58,Rachel,58,0.17516424900065355,4.3,0.5830388692579506,UK,iter_T
Rachel_59,Rachel,59,0.24293494899603665,5.7,0.6267605633802817,UK,iter_T
Rachel_6,Rachel,6,0.19189285854915675,6.3,0.6077348066298343,UK,iter_T
Rachel_60,Rachel,60,0.19105353197876,5.5,0.6403712296983759,UK,iter_T
Rachel_61,Rachel,61,0.19524663747869977,6,0.615234375,UK,iter_T
Rachel_62,Rachel,62,0.21305765370571858,5,0.6666666666666666,UK,iter_T
Rachel_63,Rachel,63,0.2682313950218654,5.5,0.6346153846153846,UK,iter_T
Rachel_64,Rachel,64,0.2526399115445282,5.8,0.7284768211920529,UK,iter_T
Rachel_65,Rachel,65,0.24846553543292532,5.5,0.6439024390243903,UK,iter_T
Rachel_66,Rachel,66,0.19505258951543272,5.6,0.5188470066518847,UK,iter_T
Rachel_67,Rachel,67,0.22454970656886017,5.6,0.651270207852194,UK,iter_T
Rachel_68,Rachel,68,0.26061439061546915,5.5,0.5217391304347826,UK,iter_T
Rachel_69,Rachel,69,0.15705761768484408,5.8,0.5286343612334802,UK,iter_T
Rachel_7,Rachel,7,0.2472967796133137,5.2,0.6497326203208557,UK,iter_T
Rachel_70,Rachel,70,0.23575804700678069,5.5,0.6142857142857143,UK,iter_T
Rachel_71,Rachel,71,0.2203968555290749,5.8,0.5386363636363637,UK,iter_T
Rachel_72,Rachel,72,0.19599660264721433,5.3,0.5426356589147286,UK,iter_T
Rachel_73,Rachel,73,0.19981607661625894,7.1,0.5933014354066986,UK,iter_T
Rachel_74,Rachel,74,0.26573149905278565,6.7,0.5775127768313458,UK,iter_T
Rachel_75,Rachel,75,0.18864293635602922,5.5,0.6413793103448275,UK,iter_T
Rachel_76,Rachel,76,0.2943272132248754,5.9,0.6193548387096774,UK,iter_T
Rachel_77,Rachel,77,0.25804389808410366,5.3,0.6657754010695187,UK,iter_T
Rachel_78,Rachel,78,0.25080954991814153,5.4,0.6439024390243903,UK,iter_T
Rachel_79,Rachel,79,0.22950154806302844,6.4,0.5804701627486437,UK,iter_T
Rachel_8,Rachel,8,0.1880248235819514,6.6,0.6217616580310881,UK,iter_T
Rachel_80,Rachel,80,0.23604810922878905,4.7,0.5419354838709678,UK,iter_T
Rachel_81,Rachel,81,0.1760446038497282,5.1,0.5240506329113924,UK,iter_T
Rachel_82,Rachel,82,0.24295632067757597,5.5,0.6484560570071259,UK,iter_T
Rachel_83,Rachel,83,0.2384377222575838,5.1,0.6648648648648648,UK,iter_T
Rachel_84,Rachel,84,0.19993245049672442,4.7,0.5705521472392638,UK,iter_T
Rachel_85,Rachel,85,0.24644565162649815,5.4,0.6280788177339901,UK,iter_T
Rachel_86,Rachel,86,0.21639947643426888,7.3,0.5891238670694864,UK,iter_T
Rachel_87,Rachel,87,0.21452657098016326,6.1,0.7021276595744681,UK,iter_T
Rachel_88,Rachel,88,0.20104251319088512,5.8,0.5126582278481012,UK,iter_T
Rachel_89,Rachel,89,0.2864886869791676,5.5,0.6234718826405868,UK,iter_T
Rachel_9,Rachel,9,0.18791559122069748,4,0.481651376146789,UK,iter_T
Rachel_90,Rachel,90,0.25549906030581987,6.4,0.6216730038022814,UK,iter_T
Rachel_91,Rachel,91,0.20027495708635884,5,0.6666666666666666,UK,iter_T
Rachel_92,Rachel,92,0.2531378426973276,5.2,0.5594594594594594,UK,iter_T
Rachel_93,Rachel,93,0.24742773774179833,6.5,0.5967153284671532,UK,iter_T
Rachel_94,Rachel,94,0.2592482540214502,4,0.5689655172413793,UK,iter_T
Rachel_95,Rachel,95,0.25649705635464337,5.3,0.6467532467532467,UK,iter_T
Rachel_96,Rachel,96,0.20380177518974626,6.1,0.6172839506172839,UK,iter_T
Rachel_97,Rachel,97,0.20083749667743508,6,0.5225409836065574,UK,iter_T
Rachel_98,Rachel,98,0.19005134492027526,6.1,0.6193181818181818,UK,iter_T
Rachel_99,Rachel,99,0.2071283081423454,6.8,0.6090604026845637,UK,iter_T
Radia_1,Radia,1,0.3425473848231359,5.9,0.6473317865429234,Urdu,iter_T
Radia_10,Radia,10,0.36532053887030214,5.7,0.5880893300248139,Urdu,iter_T
Radia_100,Radia,100,0.2657257612245004,6.9,0.7318255250403877,Urdu,iter_T
Radia_11,Radia,11,0.38414992430751244,6.6,0.7096153846153846,Urdu,iter_T
Radia_12,Radia,12,0.34353968686842895,6.5,0.6454183266932271,Urdu,iter_T
Radia_13,Radia,13,0.34827194746974827,6.2,0.6133333333333333,Urdu,iter_T
Radia_14,Radia,14,0.41776912841357744,4.3,0.5625,Urdu,iter_T
Radia_15,Radia,15,0.33616527122613626,6.8,0.6672794117647058,Urdu,iter_T
Radia_16,Radia,16,0.3377705429883162,7.5,0.7348703170028819,Urdu,iter_T
Radia_17,Radia,17,0.35267318547817283,5.1,0.624633431085044,Urdu,iter_T
Radia_18,Radia,18,0.34463282794537825,5.9,0.644927536231884,Urdu,iter_T
Radia_19,Radia,19,0.30374686978496795,7.7,0.66189111747851,Urdu,iter_T
Radia_2,Radia,2,0.39375920735701986,5.8,0.5918918918918918,Urdu,iter_T
Radia_20,Radia,20,0.35511022544985726,6.8,0.6777583187390543,Urdu,iter_T
Radia_21,Radia,21,0.32762512371463265,6.7,0.5680473372781065,Urdu,iter_T
Radia_22,Radia,22,0.35900182756586957,6.6,0.6628571428571428,Urdu,iter_T
Radia_23,Radia,23,0.3563338733267314,4.4,0.5859375,Urdu,iter_T
Radia_24,Radia,24,0.31901306970722254,5.3,0.6103151862464183,Urdu,iter_T
Radia_25,Radia,25,0.37745356189959384,4.6,0.5869565217391305,Urdu,iter_T
Radia_26,Radia,26,0.3073646718860873,8.3,0.7187894073139974,Urdu,iter_T
Radia_27,Radia,27,0.4091867020821296,5.2,0.601823708206687,Urdu,iter_T
Radia_28,Radia,28,0.3264909642682747,6.1,0.714867617107943,Urdu,iter_T
Radia_29,Radia,29,0.36857502803215764,5.1,0.6151419558359621,Urdu,iter_T
Radia_3,Radia,3,0.3377371624178117,7.5,0.6940298507462687,Urdu,iter_T
Radia_30,Radia,30,0.2713878890572859,7.6,0.7148760330578512,Urdu,iter_T
Radia_31,Radia,31,0.41770446934162664,5.3,0.6216216216216216,Urdu,iter_T
Radia_32,Radia,32,0.4102021001619611,5,0.5818181818181818,Urdu,iter_T
Radia_33,Radia,33,0.3322438508385231,7.5,0.717008797653959,Urdu,iter_T
Radia_34,Radia,34,0.34973349524411773,5.6,0.6508728179551122,Urdu,iter_T
Radia_35,Radia,35,0.30519506743490704,7.5,0.6677115987460815,Urdu,iter_T
Radia_36,Radia,36,0.31753737894219747,6.5,0.7106690777576854,Urdu,iter_T
Radia_37,Radia,37,0.38229399653624235,5.2,0.5169230769230769,Urdu,iter_T
Radia_38,Radia,38,0.34606326238543667,6.5,0.6570247933884298,Urdu,iter_T
Radia_39,Radia,39,0.3779674415150127,5.7,0.6624365482233503,Urdu,iter_T
Radia_4,Radia,4,0.3611924662346454,6.3,0.6645569620253164,Urdu,iter_T
Radia_40,Radia,40,0.40216072054418606,4.7,0.6827586206896552,Urdu,iter_T
Radia_41,Radia,41,0.35034520809716974,6.5,0.6178217821782178,Urdu,iter_T
Radia_42,Radia,42,0.36838534995619865,6.1,0.6507592190889371,Urdu,iter_T
Radia_43,Radia,43,0.3714213570349463,5.7,0.6508728179551122,Urdu,iter_T
Radia_44,Radia,44,0.39798570722243964,4.2,0.5223214285714286,Urdu,iter_T
Radia_45,Radia,45,0.3720427620864074,5.9,0.6827586206896552,Urdu,iter_T
Radia_46,Radia,46,0.3511901191691502,5.1,0.6434782608695652,Urdu,iter_T
Radia_47,Radia,47,0.39224545709040337,4.4,0.5344129554655871,Urdu,iter_T
Radia_48,Radia,48,0.368429707473483,6.3,0.666,Urdu,iter_T
Radia_49,Radia,49,0.3389086350663932,4.6,0.6338028169014085,Urdu,iter_T
Radia_5,Radia,5,0.4056880163561096,5.7,0.5967741935483871,Urdu,iter_T
Radia_50,Radia,50,0.3192052960213368,5,0.6627906976744186,Urdu,iter_T
Radia_51,Radia,51,0.34557700175307443,4.9,0.5574324324324325,Urdu,iter_T
Radia_52,Radia,52,0.3496589042494507,4.9,0.5787781350482315,Urdu,iter_T
Radia_53,Radia,53,0.3477996193540447,5.8,0.5833333333333334,Urdu,iter_T
